시군구,단지명,전월세구분,전용면적(㎡),계약년월,보증금(만원),월세(만원),층,건축년도,도로명,계약기간,계약구분,갱신요구권 사용,종전계약 보증금 (만원),종전계약 월세 (만원)
서울특별시 강남구 개포동,개포자이프레지던스,월세,45.88,202307,"        20,220",            50,12,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,45.88,202307,"        27,696",            13,1,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,45.88,202307,"        27,696",            13,1,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,39.95,202307,"        24,272",            11,6,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,39.95,202307,"        14,668",            53,7,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,45.88,202307,"        17,600",            63,6,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,45.88,202307,"        17,600",            63,13,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,45.88,202307,"        17,600",            63,5,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,45.88,202307,"        16,720",            60,7,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,45.88,202307,"        17,600",            63,11,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,45.88,202307,"        16,720",            60,6,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,39.95,202307,"        14,668",            53,2,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,45.88,202307,"        27,696",            13,14,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,39.95,202307,"        14,668",            53,6,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,39.95,202307,"        14,668",            53,4,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,45.88,202307,"        17,600",            63,12,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,45.88,202307,"        17,600",            63,3,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,45.88,202307,"        17,600",            63,4,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,39.95,202307,"        14,668",            53,6,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포자이프레지던스,월세,45.88,202307,"        17,600",            63,11,2023,삼성로 14,-,신규,-,0,0
서울특별시 강남구 개포동,개포주공5단지,전세,61.19,202307,"        32,000",             0,14,1983,삼성로4길 17,202309~202509,갱신,-,"35,175",0
서울특별시 강남구 개포동,개포주공5단지,전세,83.17,202307,"        45,000",             0,8,1983,삼성로4길 17,202308~202508,신규,-,0,0
서울특별시 강남구 개포동,개포주공5단지,전세,83.17,202307,"        40,000",             0,3,1983,삼성로4길 17,202307~202507,신규,-,0,0
서울특별시 강남구 개포동,개포주공5단지,전세,61.19,202307,"        39,000",             0,4,1983,삼성로4길 17,202308~202508,신규,-,0,0
서울특별시 강남구 개포동,개포주공5단지,전세,61.19,202307,"        35,000",             0,6,1983,삼성로4길 17,202309~202509,신규,-,0,0
서울특별시 강남구 개포동,개포주공5단지,전세,53.98,202307,"        31,000",             0,6,1983,삼성로4길 17,202308~202508,갱신,-,"36,750",0
