동,count,mean,std,min,25%,50%,75%,max
연건동,1.0,18800.0,,18800.0,18800.0,18800.0,18800.0,18800.0
연남동,1.0,42000.0,,42000.0,42000.0,42000.0,42000.0,42000.0
연지동,1.0,38000.0,,38000.0,38000.0,38000.0,38000.0,38000.0
연희동,1.0,44000.0,,44000.0,44000.0,44000.0,44000.0,44000.0
염리동,10.0,101570.0,38133.45134014375,64000.0,73125.0,81350.0,134875.0,163000.0
염창동,15.0,82480.0,21487.178901448584,48000.0,63850.0,80000.0,102000.0,113000.0
영등포동,4.0,82700.0,8590.304612371632,72000.0,77625.0,84500.0,89575.0,89800.0
영등포동1가,5.0,12648.0,520.4997598462462,11800.0,12580.0,12800.0,12880.0,13180.0
영등포동7가,2.0,132250.0,25102.290732122437,114500.0,123375.0,132250.0,141125.0,150000.0
영등포동8가,1.0,110000.0,,110000.0,110000.0,110000.0,110000.0,110000.0
오금동,12.0,107025.0,57526.02770604245,11000.0,76500.0,107900.0,155500.0,182000.0
오류동,12.0,31224.166666666668,24178.847050613676,9500.0,10600.0,28695.0,42750.0,86600.0
옥수동,9.0,132611.11111111112,14838.248249409737,104000.0,128000.0,130000.0,135000.0,154000.0
온수동,1.0,44000.0,,44000.0,44000.0,44000.0,44000.0,44000.0
용강동,1.0,168000.0,,168000.0,168000.0,168000.0,168000.0,168000.0
용답동,1.0,64000.0,,64000.0,64000.0,64000.0,64000.0,64000.0
용두동,7.0,81428.57142857143,15680.211976215362,52000.0,76500.0,81000.0,93000.0,98000.0
용산동2가,1.0,60000.0,,60000.0,60000.0,60000.0,60000.0,60000.0
우면동,3.0,141666.66666666666,33291.640592396965,120000.0,122500.0,125000.0,152500.0,180000.0
우이동,1.0,47000.0,,47000.0,47000.0,47000.0,47000.0,47000.0
원효로1가,1.0,49500.0,,49500.0,49500.0,49500.0,49500.0,49500.0
월계동,33.0,63996.969696969696,10141.144069103004,37500.0,58500.0,65000.0,70000.0,80000.0
응봉동,2.0,108500.0,31819.80515339464,86000.0,97250.0,108500.0,119750.0,131000.0
응암동,40.0,71594.0,15077.704001230359,32000.0,62875.0,72500.0,82050.0,100000.0
이문동,13.0,60292.307692307695,16696.130366967347,8000.0,60000.0,62500.0,66500.0,75000.0
이촌동,3.0,252766.66666666666,123460.37150978176,173300.0,181650.0,190000.0,292500.0,395000.0
일원동,21.0,177642.85714285713,46566.92572447286,97500.0,152000.0,187000.0,209500.0,284000.0
자곡동,1.0,150000.0,,150000.0,150000.0,150000.0,150000.0,150000.0
자양동,16.0,122750.0,43775.56395981667,70000.0,93000.0,113500.0,135000.0,218000.0
잠실동,48.0,195345.0,35766.21501040071,138000.0,163000.0,195000.0,207000.0,340000.0
잠원동,19.0,226100.0,72367.83355423411,151000.0,169400.0,222000.0,257000.0,415000.0
장안동,7.0,60614.28571428572,26445.694581628253,13000.0,50900.0,69500.0,77500.0,85000.0
장위동,25.0,80096.0,11969.213285202442,43400.0,75000.0,77000.0,88000.0,106800.0
장지동,28.0,93392.85714285714,15789.633931239183,60900.0,82750.0,86250.0,102875.0,135000.0
전농동,13.0,86192.30769230769,21806.476925387007,58000.0,72000.0,80000.0,109000.0,118500.0
정릉동,25.0,43660.0,19399.785222178794,18800.0,19300.0,49000.0,58000.0,83000.0
제기동,3.0,57766.666666666664,34631.82544038552,18000.0,46000.0,74000.0,77650.0,81300.0
종암동,10.0,69190.0,11907.276020241667,55000.0,58500.0,68200.0,80125.0,85500.0
중계동,41.0,67841.46341463414,26922.081788095027,35400.0,48700.0,60000.0,92000.0,130000.0
중림동,1.0,130000.0,,130000.0,130000.0,130000.0,130000.0,130000.0
중화동,2.0,51000.0,1414.213562373095,50000.0,50500.0,51000.0,51500.0,52000.0
증산동,2.0,15750.0,353.5533905932738,15500.0,15625.0,15750.0,15875.0,16000.0
진관동,13.0,86346.15384615384,33424.282973725734,46000.0,68000.0,84000.0,90000.0,185000.0
창동,41.0,52663.41463414634,19256.21660785889,30500.0,35300.0,49000.0,65500.0,110000.0
창신동,2.0,52500.0,10606.601717798212,45000.0,48750.0,52500.0,56250.0,60000.0
창전동,2.0,105500.0,6363.961030678927,101000.0,103250.0,105500.0,107750.0,110000.0
천연동,1.0,41400.0,,41400.0,41400.0,41400.0,41400.0,41400.0
천호동,14.0,89341.42857142857,42282.53082759844,30000.0,52625.0,77750.0,128000.0,170000.0
청담동,3.0,295666.6666666667,77435.99507550306,207000.0,268500.0,330000.0,340000.0,350000.0
충신동,1.0,17000.0,,17000.0,17000.0,17000.0,17000.0,17000.0
충정로3가,3.0,58666.666666666664,27061.657993059725,37000.0,43500.0,50000.0,69500.0,89000.0
토정동,1.0,98000.0,,98000.0,98000.0,98000.0,98000.0,98000.0
평동,1.0,141000.0,,141000.0,141000.0,141000.0,141000.0,141000.0
평창동,1.0,65000.0,,65000.0,65000.0,65000.0,65000.0,65000.0
