,조회연도,기업명,안정성유동비율,자기자본구성비율,부채비율,매출액순이익율,자기자본순이익율,매출액영업이익율,총자산순이익율,총자산회전율,자기자본회전율,총수지비율,경상수지비율,영업수지비율,영업수익,영업비용,영업이익,영업외수익,영업외비용,법인세차감전이익,법인세등,당기순이익,지자체,수도권여부,지역,설립기관,운영구분,공기업유형
3,2014,장수한우지방공사,245.79,81.6,22.55,16.33,11.53,-7.81,9.41,0.58,0.71,114.61,117.68,92.75,2682,2892,-210,754,28,516,78,438,기초,비수도권,전라북도,전라북도 장수군,간접,기타공사
4,2015,장수한우지방공사,411.39,88.89,12.5,7.72,5.76,-0.18,5.12,0.66,0.75,107.6,108.73,99.82,4508,4266,242,391,3,630,47,583,기초,비수도권,전라북도,전라북도 장수군,간접,기타공사
5,2016,장수한우지방공사,542.21,90.78,10.16,7.12,5.07,-0.26,4.6,0.65,0.71,106.98,108.15,99.74,4536,4548,-12,415,30,373,50,323,기초,비수도권,전라북도,전라북도 장수군,간접,기타공사
6,2017,장수한우지방공사,416.89,87.11,14.79,1.64,1.14,-9.36,0.99,0.61,0.7,101.49,101.65,91.44,4488,4908,-420,540,38,82,8,74,기초,비수도권,전라북도,전라북도 장수군,간접,기타공사
7,2018,장수한우지방공사,341.8,81.87,22.14,0.89,0.61,-2.62,0.5,0.56,0.68,100.86,100.88,97.45,4883,5011,-128,226,55,43,0,43,기초,비수도권,전라북도,전라북도 장수군,간접,기타공사
8,2019,장수한우지방공사,427.43,85.36,17.16,1.14,0.82,-1.81,0.7,0.62,0.72,101.11,101.21,98.23,5202,5296,-94,185,27,64,5,59,기초,비수도권,전라북도,전라북도 장수군,간접,기타공사
9,2020,장수한우지방공사,336.25,80.18,24.72,-22.74,-16.29,-20.72,-13.06,0.57,0.72,82.13,82.13,82.84,5132,6195,-1063,233,337,0,0,-1167,기초,비수도권,전라북도,전라북도 장수군,간접,기타공사
13,2014,김해시도시개발공사,419.62,74.8,33.69,0.02,0.04,0.04,0.03,1.36,1.82,97.82,97.82,97.26,27481,27633,-152,179,20,7,1,6,기초,비수도권,경상남도,경상남도 김해시,간접,기타공사
14,2015,김해시도시개발공사,210.46,52.49,90.51,-0.18,-0.24,-0.21,-0.13,0.81,1.31,99.84,99.84,99.02,39654,40046,-392,329,2,-65,8,-73,기초,비수도권,경상남도,경상남도 김해시,간접,기타공사
15,2016,김해시도시개발공사,165.79,60.05,66.5,-0.51,-0.37,-0.36,-0.21,0.57,1,99.51,99.51,98.34,47063,47853,-790,560,0,-230,8,-238,기초,비수도권,경상남도,경상남도 김해시,간접,기타공사
16,2017,김해시도시개발공사,170.38,60.47,65.37,4.8,5.47,5.62,3.3,0.69,1.14,105.02,106.36,105.96,75131,70906,4225,283,0,4508,901,3607,기초,비수도권,경상남도,경상남도 김해시,간접,기타공사
17,2018,김해시도시개발공사,747.81,70.94,40.96,4.49,4.79,5.44,3.13,0.7,1.07,104.68,106.06,105.75,74391,70343,4048,213,0,4261,924,3337,기초,비수도권,경상남도,경상남도 김해시,간접,기타공사
18,2019,김해시도시개발공사,526.7,55.39,80.55,3.26,2.15,3.36,1.33,0.41,0.66,103.32,104.24,103.47,47561,45964,1597,595,235,1957,409,1548,기초,비수도권,경상남도,경상남도 김해시,간접,기타공사
19,2020,김해시도시개발공사,251.07,56.2,77.95,5.49,3.5,5.68,1.95,0.36,0.64,105.7,107.19,106.02,47240,44557,2683,866,322,3228,632,2596,기초,비수도권,경상남도,경상남도 김해시,간접,기타공사
22,2013,진천군하수도,389.1,36.63,172.97,-511.14,-15.79,-1748.74,-4.83,0.01,0.03,72.4,72.4,5.41,707,13084,-12377,8780,21,-3618,0,-3618,기초,비수도권,충청북도,충청북도 진천군,직영,하수도
23,2014,진천군하수도,260.28,44.3,125.71,-363.57,-7.92,-1631.87,-3.22,0.01,0.02,79.1,79.1,5.77,746,12922,-12176,9521,58,-2713,0,-2713,기초,비수도권,충청북도,충청북도 진천군,직영,하수도
24,2015,진천군하수도,518.1,59.8,67.2,-318.8,-5.4,-1145.07,-2.88,0.01,0.02,78.52,78.52,8.03,919,11443,-10524,9792,2198,-2930,0,-2930,기초,비수도권,충청북도,충청북도 진천군,직영,하수도
25,2016,진천군하수도,804.27,64.41,55.26,-471.15,-6.7,-1080.12,-4.17,0.01,0.01,64.35,64.35,8.47,1056,12465,-11409,7926,1493,-4976,0,-4976,기초,비수도권,충청북도,충청북도 진천군,직영,하수도
26,2017,진천군하수도,656.49,67.88,47.31,-293.91,-5.02,-840.55,-3.32,0.01,0.02,72.12,72.12,10.63,1419,13344,-11925,9365,1610,-4170,0,-4170,기초,비수도권,충청북도,충청북도 진천군,직영,하수도
27,2018,진천군하수도,448.83,70.76,41.33,-620.04,-11.18,-836.86,-7.75,0.01,0.02,39.91,39.91,10.67,1617,15148,-13531,5042,1536,-10025,0,-10025,기초,비수도권,충청북도,충청북도 진천군,직영,하수도
28,2019,진천군하수도,488.84,74.59,34.07,-427.95,-7.73,-779.57,-5.62,0.01,0.02,54.42,54.42,10.67,1771,5580,-3809,7280,1052,2419,0,2419,기초,비수도권,충청북도,충청북도 진천군,직영,하수도
29,2020,진천군하수도,555.22,79,26.58,625.43,-9.27,890.21,-7.13,0.01,0.01,40.33,40.33,10.1,1665,10220,-14821,5373,965,10412,0,-10412,기초,비수도권,충청북도,충청북도 진천군,직영,하수도
32,2013,진천군상수도,14620.16,99.94,0.06,1.32,0.18,-16.26,0.18,0.13,0.13,101.08,101.08,86.11,7998,9217,-1219,1318,0,99,0,99,기초,비수도권,충청북도,충청북도 진천군,직영,상수도
33,2014,진천군상수도,27966.87,99.93,0.07,-12.19,-1.67,-17.25,-1.67,0.14,0.14,90.51,90.51,85.34,8602,9936,-1334,391,0,-943,0,-943,기초,비수도권,충청북도,충청북도 진천군,직영,상수도
34,2015,진천군상수도,215.09,96.65,3.47,-14.62,-2.24,-15.01,-2.2,0.15,0.15,88.62,88.62,86.95,10020,11345,-1325,35,0,-1290,0,-1290,기초,비수도권,충청북도,충청북도 진천군,직영,상수도
35,2016,진천군상수도,61838.45,99.93,0.07,6.11,1.07,4.73,1.05,0.17,0.18,104.9,104.9,104.89,14113,13597,516,152,1,667,0,667,기초,비수도권,충청북도,충청북도 진천군,직영,상수도
36,2017,진천군상수도,61480.45,99.92,0.08,9.93,1.87,9.66,1.86,0.19,0.19,109.98,109.98,111.03,13919,12685,1234,63,28,1269,0,1269,기초,비수도권,충청북도,충청북도 진천군,직영,상수도
37,2018,진천군상수도,99.02,99.91,0.09,12.31,2.5,12.02,2.5,0.2,0.2,113.09,113.09,114.15,15807,14012,1795,67,28,1834,0,1834,기초,비수도권,충청북도,충청북도 진천군,직영,상수도
38,2019,진천군상수도,18552,99.86,0.14,12.15,2.47,11.56,2.47,0.2,0.2,113.05,113.05,113.37,16822,14962,1860,96,8,1948,0,1948,기초,비수도권,충청북도,충청북도 진천군,직영,상수도
39,2020,진천군상수도,40306.74,99.9,0.1,7.91,2.47,7.29,1.46,0.18,0.18,108.11,108.11,107.48,16392,15251,1141,108,12,0,0,1237,기초,비수도권,충청북도,충청북도 진천군,직영,상수도
42,2013,울산광역시중구도시관리공단,1384,93,8,0,0,0,0,25,27,100,100,100,1373,1373,0,1,1,0,0,0,기초,비수도권,울산광역시,울산광역시 중구,간접,지방공단
43,2014,울산광역시중구도시관리공단,727,86,16,0,0,0,0,31,35,100,100,100,3452,3452,0,14,14,0,0,0,기초,비수도권,울산광역시,울산광역시 중구,간접,지방공단
44,2015,울산광역시중구도시관리공단,270,63,59,0,0,0,0,38,28,100,100,100,3805,3805,0,12,12,0,0,0,기초,비수도권,울산광역시,울산광역시 중구,간접,지방공단
45,2016,울산광역시중구도시관리공단,280,64,55,0,0,0,0,27,43,100,100,100,4267,4267,0,16,16,0,0,0,기초,비수도권,울산광역시,울산광역시 중구,간접,지방공단
46,2017,울산광역시중구도시관리공단,130,32,211,0,0,0,0,21,49,100,100,100,4867,4867,0,21,21,0,0,0,기초,비수도권,울산광역시,울산광역시 중구,간접,지방공단
47,2018,울산광역시중구도시관리공단,131,26,285,0,0,0,0,18,63,100,100,100,6319,6319,0,50,50,0,0,0,기초,비수도권,울산광역시,울산광역시 중구,간접,지방공단
48,2019,울산광역시중구도시관리공단,131,23,329,0,0,0,0,18,73,100,100,100,7319,7319,0,74,74,0,0,0,기초,비수도권,울산광역시,울산광역시 중구,간접,지방공단
49,2020,울산광역시중구도시관리공단,134,26,279,0,0,0,0,15,60,100,100,100,6000,6000,0,52,52,0,0,0,기초,비수도권,울산광역시,울산광역시 중구,간접,지방공단
52,2013,이천시시설관리공단,3806.46,97.37,2.7,0,0,0,0,8.99,9.23,100,100,100,1385,1385,0,0,0,0,0,0,기초,수도권,경기도,경기도 이천시,간접,지방공단
53,2014,이천시시설관리공단,2964.64,96.63,3.49,0,0,0,0,8.88,8.62,100,100,100,2665,2665,0,0,0,0,0,0,기초,수도권,경기도,경기도 이천시,간접,지방공단
54,2015,이천시시설관리공단,3528,97,3,0,0,0,0,9,9,100,100,100,2832,2832,0,0,0,0,0,0,기초,수도권,경기도,경기도 이천시,간접,지방공단
55,2016,이천시시설관리공단,285,65,54,0,0,0,0,8,10,100,100,100,3133,3131,2,141,143,0,0,0,기초,수도권,경기도,경기도 이천시,간접,지방공단
56,2017,이천시시설관리공단,432.86,81.97,22,0,0,0,0,6.85,9.28,100,100,100,3292,3292,0,8,8,0,0,0,기초,수도권,경기도,경기도 이천시,간접,지방공단
57,2018,이천시시설관리공단,368.04,78.54,27.32,0,0,0,0,8.29,10.33,100,100,100,4233,4233,0,9,9,0,0,0,기초,수도권,경기도,경기도 이천시,간접,지방공단
58,2019,이천시시설관리공단,311.17,74.25,34.68,0,0,0,0,9.06,11.87,100,100,100,4863,4863,0,7,7,0,0,0,기초,수도권,경기도,경기도 이천시,간접,지방공단
59,2020,이천시시설관리공단,311.29,74.26,34.66,0,0,0,0,9.19,12.38,100,100,100,5073,5073,0,19,19,0,0,0,기초,수도권,경기도,경기도 이천시,간접,지방공단
61,2012,부산관광공사,1387.7,93.6,6.9,-856.3,-25.3,-25.3,-23.6,0,0,10.5,10.5,10.5,24,225,-201,0,0,-201,0,-201,광역,비수도권,부산광역시,부산광역시,간접,기타공사
62,2013,부산관광공사,214.5,66.7,49.9,-26.1,-43.9,-26.1,-29.3,227.8,227.8,81,74.4,131.8,9111,12246,-3135,1008,253,-2380,0,-2380,광역,비수도권,부산광역시,부산광역시,간접,기타공사
63,2014,부산관광공사,340.88,79.19,26.27,-18.6,-18.3,-21.1,-20.2,95.7,128.7,85,82.6,140.9,10134,12276,-2142,545,293,-1890,0,-1890,광역,비수도권,부산광역시,부산광역시,간접,기타공사
64,2015,부산관광공사,480.18,83.86,19.24,2.53,1.99,-3.71,1.67,69.83,93.58,102.44,102.44,96.43,11888,12328,-440,744,3,301,0,301,광역,비수도권,부산광역시,부산광역시,간접,기타공사
65,2016,부산관광공사,436.83,84.39,18.5,3.17,1.88,-25.33,1.58,55.93,66.47,102.53,102.53,79.78,11405,14295,-2890,3254,3,361,0,361,광역,비수도권,부산광역시,부산광역시,간접,기타공사
66,2017,부산관광공사,452.27,82.84,20.72,16.68,11.43,12.11,9.55,57.23,64.78,118.98,118.98,113.77,13974,12282,1692,640,1,2331,0,2331,광역,비수도권,부산광역시,부산광역시,간접,기타공사
67,2018,부산관광공사,463.21,82.61,21.05,6.43,3.86,2.75,3.19,49.69,60.07,106.58,106.58,102.8,13213,12850,363,534,48,849,0,849,광역,비수도권,부산광역시,부산광역시,간접,기타공사
68,2019,부산관광공사,598.33,86.79,15.22,-2.32,-1.41,-6.66,-1.19,51.27,60.58,97.82,97.82,93.75,13486,14385,-899,586,0,-313,0,-313,광역,비수도권,부산광역시,부산광역시,간접,기타공사
69,2020,부산관광공사,312.8,79.23,26.22,-80.04,-25.21,-88.7,-21,26.24,31.49,57.62,57.62,53,6183,11667,-5484,545,0,-4949,0,-4949,광역,비수도권,부산광역시,부산광역시,간접,기타공사
71,2012,제주에너지공사,445.57,97.72,2.34,-10.24,0.66,0.77,0.75,0.07,0.07,106.06,115.43,90.71,2404,2651,-247,1460,697,516,296,220,광역,비수도권,제주특별자치도,제주특별자치도,간접,기타공사
72,2013,제주에너지공사,540.66,94.95,5.22,19.37,3.62,31.89,3.49,18.01,18.7,123.86,137.26,146.82,12677,8635,4042,70,652,3460,1004,2456,광역,비수도권,제주특별자치도,제주특별자치도,간접,기타공사
73,2014,제주에너지공사,271.41,78.52,27.35,21.63,4,47.2,3.43,15.86,18.48,126.03,137.53,189.41,13013,6870,6143,612,3037,3718,904,2814,광역,비수도권,제주특별자치도,제주특별자치도,간접,기타공사
74,2015,제주에너지공사,168.73,55.97,78.67,6.74,1.12,16.5,0.73,11,17,126.03,137.53,189.41,12043,10055,1988,1741,3785,-56,-868,812,광역,비수도권,제주특별자치도,제주특별자치도,간접,기타공사
75,2016,제주에너지공사,135.4,57.99,72.45,9.32,2.14,35.44,1.23,0.13,0.23,109.54,115.64,154.89,17031,10996,6035,1026,4619,2442,870,1572,광역,비수도권,제주특별자치도,제주특별자치도,간접,기타공사
76,2017,제주에너지공사,93.53,61.3,63.12,11.17,2.98,32.86,1.78,0.16,0.27,112.18,116.75,148.95,20019,13440,6579,567,4192,2954,718,2236,광역,비수도권,제주특별자치도,제주특별자치도,간접,기타공사
77,2018,제주에너지공사,82.25,66.64,50.05,15.17,1.05,35.25,0.67,0.04,0.07,529.05,117.52,154.44,21253,13761,7492,369,4087,3774,551,3223,광역,비수도권,제주특별자치도,제주특별자치도,간접,기타공사
78,2019,제주에너지공사,127.25,82.43,2.31,13.93,0.59,29.95,0.45,0.03,0.04,115.89,114.94,142.75,18944,13270,5674,1347,4238,2783,145,2638,광역,비수도권,제주특별자치도,제주특별자치도,간접,기타공사
79,2020,제주에너지공사,131.08,86.21,15.99,-6.44,-0.55,4.37,-0.46,7.19,8.54,94.74,94.27,104.57,12277,11741,536,732,1990,-722,69,-791,광역,비수도권,제주특별자치도,제주특별자치도,간접,기타공사
80,2011,광양시하수도,1804.77,96,4.2,-1126.17,-6.13,0,0,0.01,0.01,10.1,10.1,8.3,1541,18630,-17089,408,280,-16961,0,-16961,기초,비수도권,전라남도,전라남도 광양시,직영,하수도
81,2012,광양시하수도,1628.09,96.8,3.3,-1185.66,-6.02,0,0,0.01,0,14.7,14.7,7.6,1537,20182,-18645,1591,871,-17925,0,-17925,기초,비수도권,전라남도,전라남도 광양시,직영,하수도
82,2013,광양시하수도,932.26,97.7,2.4,-1536.32,-7.86,-1249.32,-7.64,0.01,0,7.9,7.9,7.4,1546,20857,-19311,504,4939,-23746,0,-23746,기초,비수도권,전라남도,전라남도 광양시,직영,하수도
83,2014,광양시하수도,3823.45,99.2,0.8,-1033.66,-7.71,-900.59,-7.59,0.01,0.01,19.4,19.4,10,2217,22189,-19972,3299,6250,-22923,0,-22923,기초,비수도권,전라남도,전라남도 광양시,직영,하수도
84,2015,광양시하수도,3045.1,99.52,0.48,-621.82,-9.04,-621.82,-8.98,0.01,0.01,22.3,22.3,13.85,3374,24355,-20981,4231,9750,-26500,0,-26500,기초,비수도권,전라남도,전라남도 광양시,직영,하수도
85,2016,광양시하수도,6344.9,99.82,0.18,-396.15,-5.88,-467.81,-5.86,0.01,0.01,30.2,30.2,17.61,4480,25439,-20959,3215,5,-17749,0,-17749,기초,비수도권,전라남도,전라남도 광양시,직영,하수도
86,2017,광양시하수도,224448.16,99.99,0.01,-282.71,-4.91,-374.17,-4.91,0.02,0.02,40.39,40.39,21.09,5658,26830,-21172,5181,6,-15997,0,-15997,기초,비수도권,전라남도,전라남도 광양시,직영,하수도
87,2018,광양시하수도,138640.97,99.99,0.01,-270.18,-5.4,-325.72,-5.4,0.02,0.02,36.53,36.53,23.49,6872,29255,-22383,3816,0,-18567,0,-18567,기초,비수도권,전라남도,전라남도 광양시,직영,하수도
88,2019,광양시하수도,87772.06,99.99,0.006,-289,-6.48,-296.25,-6.48,0.02,0.02,27.08,27.08,25.24,7809,30943,-23134,573,7,-22568,0,-22568,기초,비수도권,전라남도,전라남도 광양시,직영,하수도
89,2020,광양시하수도,8418.94,99.95,0.05,-272.01,-6.37,-288.99,-6.37,0.02,0.02,30.08,30.08,25.71,8288,32240,-23952,1412,5,-22545,0,-22545,기초,비수도권,전라남도,전라남도 광양시,직영,하수도
90,2011,세종특별자치시상수도,14295,99.89,0.1,1.5,0.3,0.2,0.2,0.12,0.12,101.2,101.2,84.5,5772,6777,-1005,1088,3,80,0,80,광역,비수도권,세종특별자치시,세종특별자치시,직영,상수도
94,2015,세종특별자치시상수도,115948,99.77,0.23,-17.25,-2.2,-34.71,-2.19,0.13,0.13,88.23,88.23,75,14360,18815,-4455,2240,0,-2215,0,-2215,광역,비수도권,세종특별자치시,세종특별자치시,직영,상수도
96,2017,세종특별자치시상수도,55207.55,99.82,0.18,-4.23,-0.47,-8.29,-0.47,0.11,0.11,96.5,96.5,92.04,20734,18937,1797,722,3,2516,0,2516,광역,비수도권,세종특별자치시,세종특별자치시,직영,상수도
97,2018,세종특별자치시상수도,8145.27,81.5,22.7,2.02,0.24,-0.28,0.21,0.11,0.12,101.71,101.71,98.82,24372,24432,-60,1696,1198,438,0,438,광역,비수도권,세종특별자치시,세종특별자치시,직영,상수도
98,2019,세종특별자치시상수도,92464.27,99.9,0.1,-12.36,-1.05,-21.97,-0.98,0.08,0.08,90.7,90.7,81.92,26290,31533,-5243,2462,168,-2949,0,-2949,광역,비수도권,세종특별자치시,세종특별자치시,직영,상수도
99,2020,세종특별자치시상수도,26331.38,96.14,4.02,-3.32,-0.22,-11.57,-0.22,0.06,0.07,97.24,97.24,88.88,28034,31029,-2995,2312,177,-860,0,-860,광역,비수도권,세종특별자치시,세종특별자치시,직영,상수도
101,2012,여수시하수도,540.56,84.99,17.67,-406.61,-9.33,-9.33,-7.87,0.02,0.02,21.43,21.43,20.61,5757,27937,-22180,628,1857,-23409,0,-23409,기초,비수도권,전라남도,전라남도 여수시,직영,하수도
102,2013,여수시하수도,694.76,85.96,16.33,-375.88,-8.28,-391.13,-7.08,0.02,0.02,28.35,28.35,20.36,5643,27714,-22071,2750,1890,-21211,0,-21211,기초,비수도권,전라남도,전라남도 여수시,직영,하수도
103,2014,여수시하수도,248.91,73.51,36.03,-432.13,-9.42,-435.93,-7.46,0.02,0.02,28.68,28.68,18.66,5597,29995,-24398,4131,3918,-24185,0,-24185,기초,비수도권,전라남도,전라남도 여수시,직영,하수도
104,2015,여수시하수도,1163.9,76.34,30.99,-373.7,-8.85,-392.73,-6.64,0.02,0.02,33.02,33.02,20.36,6342,31248,-24906,5292,4085,-23699,0,-23699,기초,비수도권,전라남도,전라남도 여수시,직영,하수도
105,2016,여수시하수도,1039.81,78.97,26.64,-151.31,-6.19,-163.85,-4.81,0.03,0.04,46.38,46.38,37.96,11969,31581,-19612,3651,2150,-18111,0,-18111,기초,비수도권,전라남도,전라남도 여수시,직영,하수도
106,2017,여수시하수도,1036.92,80.93,23,-69.92,-3.66,-95.4,-2.93,0.04,0.05,67.17,67017,51.82,16374,31995,-15621,6243,2070,-11448,0,-11448,기초,비수도권,전라남도,전라남도 여수시,직영,하수도
107,2018,여수시하수도,956.32,82.45,21.29,-67.98,-3.8,-79.4,-3.1,0.05,0.06,68.82,68.82,59.81,18114,32496,-14382,4186,2118,-12314,0,-12314,기초,비수도권,전라남도,전라남도 여수시,직영,하수도
108,2019,여수시하수도,930.98,84.3,18.62,-65.02,-3.54,-74.73,-2.95,0.05,0.05,69.76,69.76,61.53,18288,31954,-13666,3992,2216,-11890,0,-11890,기초,비수도권,전라남도,전라남도 여수시,직영,하수도
109,2020,여수시하수도,579.75,85.13,17.46,-92.39,-4.76,-83.91,-4.03,0.04,0.05,56.32,56.32,58.25,17631,32426,-14795,589,2083,-16289,0,-16289,기초,비수도권,전라남도,전라남도 여수시,직영,하수도
111,2012,옥천군하수도,166.43,76.81,30.19,-1551.33,-8.67,0,0,0,0,44.21,44.21,4.11,456,11101,-10645,5152,1583,-7076,0,-7076,기초,비수도권,충청북도,충청북도 옥천군,직영,하수도
112,2013,옥천군하수도,717.28,78.41,27.54,-718.3,-4.01,-2331.84,-3.11,0,0,73.99,73.99,4.11,464,11279,-10815,9014,1530,-3331,0,-3331,기초,비수도권,충청북도,충청북도 옥천군,직영,하수도
113,2014,옥천군하수도,593.08,79.92,25.13,-1297.87,-7.35,-2203.47,-5.82,0,0,50.2,50.2,4.34,498,11478,-10980,6020,1507,-6467,0,-6467,기초,비수도권,충청북도,충청북도 옥천군,직영,하수도
114,2015,옥천군하수도,389,82,22,-1118,-7,-1860,-6,0,0,49,49,5,604,11834,-11230,5834,1355,-6751,0,-6751,기초,비수도권,충청북도,충청북도 옥천군,직영,하수도
115,2016,옥천군하수도,170,84,19,-624,-5,-1400,-4,0,0,61,61,7,885,13277,-12392,7729,856,-5519,0,-5519,기초,비수도권,충청북도,충청북도 옥천군,직영,하수도
116,2017,옥천군하수도,99.96,84.19,18.77,-1020.37,-5.22,-470.09,-4.38,0.01,0.01,60.64,60.64,8.93,1162,13022,-11860,7254,858,-5464,0,-5464,기초,비수도권,충청북도,충청북도 옥천군,직영,하수도
117,2018,옥천군하수도,334.14,85.67,16.72,-277.43,-4.02,-770.63,-3.42,0.012,0.014,69.88,69.88,11.49,1544,13445,-11901,8394,777,-4284,0,-4284,기초,비수도권,충청북도,충청북도 옥천군,직영,하수도
118,2019,옥천군하수도,239.47,86.86,15.12,-237.11,-3.25,826.1,-2.81,0.01,0.1,75.64,75.64,10.8,1516,14090,-12574,9680,716,-3610,0,-3610,기초,비수도권,충청북도,충청북도 옥천군,직영,하수도
119,2020,옥천군하수도,119.46,89.31,11.97,-336.79,-4.18,-975.73,-3.69,0.01,0.011,69.09,69.09,9.3,1387,14921,-13534,9991,1546,-5089,0,-5089,기초,비수도권,충청북도,충청북도 옥천군,직영,하수도
122,2013,남원시하수도,25937.54,99.73,0.28,-466.65,-5.74,-704.65,-5.73,0.01,0.01,47.73,47.73,29.17,1469,11819,-10350,4789,1293,-6854,0,-6854,기초,비수도권,전라북도,전라북도 남원시,직영,하수도
123,2014,남원시하수도,2553.31,99.68,0.32,-527.76,-5.76,-863.02,-5.75,0.01,0.01,46.95,46.95,10.38,1390,13388,-11998,5104,443,-7337,0,-7337,기초,비수도권,전라북도,전라북도 남원시,직영,하수도
124,2015,남원시하수도,5518.76,99.73,0.27,-404.7,-5.82,-627.05,-5.81,0.01,0.01,44.48,44.48,13.75,1910,13884,-11974,4281,35,-7728,0,-7728,기초,비수도권,전라북도,전라북도 남원시,직영,하수도
125,2016,남원시하수도,4690.47,99.71,0.29,-331.05,-6.72,-437.5,-6.7,0.02,0.02,39.51,39.51,18.6,2769,14885,-12116,3218,270,-9168,0,-9168,기초,비수도권,전라북도,전라북도 남원시,직영,하수도
126,2017,남원시하수도,5342.52,99.73,0.27,-284.7,-5.48,-421.66,-5.47,0.02,0.02,45.44,45.44,19.17,2851,14874,-12023,3910,5,-8118,0,-8118,기초,비수도권,전라북도,전라북도 남원시,직영,하수도
127,2018,남원시하수도,6512.56,99.72,0.28,-304.19,-5.17,-439.59,-5.16,0.02,0.02,43.64,43.64,18.53,2871,15493,-12622,3891,3,-8734,0,-8734,기초,비수도권,전라북도,전라북도 남원시,직영,하수도
129,2011,영광군하수도,195.7,94.41,5.92,-470.67,-4.4,-4.4,-4.25,0.01,0.01,27.76,27.76,16.05,680,4235,-3555,550,194,-3199,0,-3199,기초,비수도권,전라남도,전라남도 영광군,직영,하수도
130,2012,영광군하수도,110.73,94.9,5.37,-522.98,-4.58,-4.58,-4.34,0.01,0.01,31.43,31.43,13.71,567,4136,-3569,792,188,-2965,0,-2965,기초,비수도권,전라남도,전라남도 영광군,직영,하수도
131,2013,영광군하수도,503,99.02,0.99,-481.62,-5.56,-622.58,-5.4,0.01,0.01,35.54,35.54,13.84,744,5376,-4632,1231,182,-3583,0,-3583,기초,비수도권,전라남도,전라남도 영광군,직영,하수도
132,2014,영광군하수도,42659.16,99.98,0.02,-317.71,-3.1,-564.67,-3.09,0.01,0.01,52.26,52.26,15.05,721,4796,-4075,1788,6,-2293,0,-2293,기초,비수도권,전라남도,전라남도 영광군,직영,하수도
133,2015,영광군하수도,46944,99.99,0.01,-415.7,-3.82,-590,-3.82,0.01,0.01,39.75,39.75,14.49,743,5126,-4383,1295,0,-3088,0,-3088,기초,비수도권,전라남도,전라남도 영광군,직영,하수도
134,2016,영광군하수도,4419,99.81,0.2,-323.13,-2.72,-542.69,-2.71,0.01,0.01,49.72,49.72,15.56,768,4935,-4167,1686,0,-2481,0,-2481,기초,비수도권,전라남도,전라남도 영광군,직영,하수도
135,2017,영광군하수도,2523,99.81,0.19,416.17,3.24,619.16,3.24,0.01,0.01,42.13,42.13,13.91,796,5724,-4928,1615,0,-3313,0,-3313,기초,비수도권,전라남도,전라남도 영광군,직영,하수도
136,2018,영광군하수도,12973,99.96,0.04,-462.21,-3.48,-780.06,-3.47,0.01,0.01,47.48,47.48,11.36,823,7249,-6426,2618,0,-3808,0,-3808,기초,비수도권,전라남도,전라남도 영광군,직영,하수도
137,2019,영광군하수도,11559,99.97,0.03,-451.22,-3.12,-852.45,-3.12,0.01,0.01,52.64,52.64,10.5,809,7710,-6901,3250,2,-3653,0,-3653,기초,비수도권,전라남도,전라남도 영광군,직영,하수도
138,2020,영광군하수도,4087.72,99.92,0.08,-598.34,-3.71,-1119.22,-3.71,0.01,0.01,50.92,50.92,8.2,781,9527,-8745,4070,0,0,0,-4675,기초,비수도권,전라남도,전라남도 영광군,직영,하수도
139,2011,영광군상수도,96.73,98.46,1.57,-85.78,-3.9,-3.9,-3.8,0.04,0.05,58.3,53.3,54.14,3499,5975,-2476,26,71,-2521,0,-2521,기초,비수도권,전라남도,전라남도 영광군,직영,상수도
140,2012,영광군상수도,333.36,99.05,0.96,-64.4,-3.67,-3.67,-3.62,0.06,0.06,66.55,66.55,56.52,3265,5561,-2296,451,23,-1868,0,-1868,기초,비수도권,전라남도,전라남도 영광군,직영,상수도
141,2013,영광군상수도,7600.73,99.82,0.18,-103.29,-8.25,-101.3,-8.21,0.08,0.08,54.55,54.55,48.8,3476,6499,-3023,224,283,-3082,0,-3082,기초,비수도권,전라남도,전라남도 영광군,직영,상수도
142,2014,영광군상수도,11986.84,99.77,0.23,-30.94,-2.73,-48.7,-2.73,0.09,0.09,80.51,80.51,68.52,3561,5137,-1576,576,1,-1001,0,-1001,기초,비수도권,전라남도,전라남도 영광군,직영,상수도
143,2015,영광군상수도,650041,100,0.16,-34.02,-3.14,-43.23,-3.13,0.09,0.09,79.91,77.91,70.48,3792,5272,-1480,316,1,-1165,0,-1165,기초,비수도권,전라남도,전라남도 영광군,직영,상수도
146,2018,영광군상수도,16194,99.95,0.05,-28.73,-1.94,-81.08,-1.94,0.07,0.07,84.95,84.95,54.86,4154,7225,-3071,1983,1,-1089,0,-1089,기초,비수도권,전라남도,전라남도 영광군,직영,상수도
147,2019,영광군상수도,9202,99.93,0.07,-44.16,-2.4,-96.22,-2.4,0.05,0.05,78.55,78.55,50.95,3995,7505,-3510,1905,6,-1611,0,-1611,기초,비수도권,전라남도,전라남도 영광군,직영,상수도
148,2020,영광군상수도,23021.1,99.93,0.07,-49.99,-2.24,-103.71,-2.23,0.04,0.04,76.8,76.8,48.64,4072,7878,-3807,2001,29,0,0,-1835,기초,비수도권,전라남도,전라남도 영광군,직영,상수도
