,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,정의당,전국,비례대표,류호정,정당인,27,19920809,이화여자대학교 사회학과 졸업,(현)정의당 IT산업노동특별위원장,0
1,열린민주당,전국,비례대표,김진애,도시건축가,67,19530216,매사추세츠 공과대학교(MIT) 대학원 도시계획 박사(1980. 9 - 1988. 2.),(전)제18대 국회의원(민주통합당),0
2,더불어시민당,전국,비례대표,신현영,의사,39,19801117,가톨릭관동대학교 의학박사,(전)대한의사협회 대변인,0
3,국민의당,전국,비례대표,최연숙,간호사,59,19600725,계명대학교 의료경영대학원 졸업(의료경영학석사),(현)(사)대한간호협회 대구광역시병원간호사회 회장,0
4,미래한국당,전국,비례대표,윤주경,(사)매헌윤봉길 월진회 이사,60,19590503,이화여자대학교 대학원 화학과 졸업(이학석사),(전)독립기념관 관장,0
5,국민의당,전국,비례대표,이태규,정당인,56,19640322,연세대학교 행정대학원 졸업(행정학 석사),(현)국민의당 최고위원,0
6,열린민주당,전국,비례대표,최강욱,변호사,51,19680505,서울대학교 법학석사,(전)대통령비서실 공직기강 비서관,0
7,정의당,전국,비례대표,장혜영,정당인,33,19870408,연세대학교 신문방송학과 중퇴(2006.03~2011.11),(현)정의당 미래정치특별위원장,0
8,더불어시민당,전국,비례대표,김경만,정당인,57,19620923,한국외국어대학교 영어대학 영어과 졸업,(전)중소기업중앙회 경제정책본부장,0
9,미래한국당,전국,비례대표,윤창현,서울시립대 경영학부 교수,59,19600728,"시카고대학교 대학원 경제학과 졸업(경제학 박사, 1987.9.~1993.8.)",(전)한국금융연구원장,0
10,정의당,전국,비례대표,강은미,정당인,49,19700906,전남대학교 해양학과 졸업,(전)광주광역시의원,0
11,국민의당,전국,비례대표,권은희,국회의원,46,19740215,연세대학교 대학원 법학과 석사과정 졸업,(현)국회의원,0
12,미래한국당,전국,비례대표,한무경,기업인,61,19580520,이화여자대학교 대학원 문헌정보학과 졸업(박사),(전)한국여성경제인협회장,0
13,열린민주당,전국,비례대표,강민정,교육시민단체 활동가,58,19610426,서울대학교 사범대학 역사교육과 졸업,(현)서울시교육청 혁신학교운영위원회 위원장,0
14,더불어시민당,전국,비례대표,권인숙,명지대학교 방목기초교육대학 교수,55,19640828,미국 클라크대학 여성학박사(1996.9.~2000.5.),(현)명지대학교 방목기초교육대학 교수,0
15,미래한국당,전국,비례대표,이종성,사회복지사,50,19700217,중앙대학교 사회개발대학원 사회복지학과 졸업(석사과정),(전)사)한국지체장애인협회 사무총장,0
16,정의당,전국,비례대표,배진교,정당인,51,19680826,인천대학교 대학원 행정학과 수료,(현)정의당 평화본부 공동본부장,0
17,더불어시민당,전국,비례대표,이동주,정당인,47,19720904,인천대학교 법학부 4학년 휴학,(전)한국중소상인 자영업자총연합회 부회장,0
18,미래한국당,전국,비례대표,조수진,미래한국당 대변인,47,19720619,고려대학교 불어불문학과 졸업(학사),(전)동아일보 논설위원,0
19,정의당,전국,비례대표,이은주,서울교통공사 역무원(차장/4급),50,19690902,성균관대학교 동양철학과 졸업,(현)정의당 시민을위한공공기관특별위원장,0
20,더불어시민당,전국,비례대표,용혜인,정당인,30,19900412,경희대학교 정치외교학과 수료,(전)기본소득당 대표,0
21,더불어시민당,전국,비례대표,조정훈,아주대학교 통일연구소 소장,47,19721007,미국 하버드대학교 케네디스쿨 행정대학원 국제개발행정학 석사(2000.9.~2002.6.),(전)세계은행 우즈베키스탄 사무소 대표,0
22,미래한국당,전국,비례대표,조태용,외교안보 칼럼리스트,63,19560829,서울대학교 정치학과 졸업(학사),(전)외교부 1차관,0
23,미래한국당,전국,비례대표,정경희,대학교수,62,19580126,서울대학교 대학원 서양사학과 졸업(박사),(전)국사편찬위원,0
24,더불어시민당,전국,비례대표,윤미향,사회단체 대표,55,19650210,이화여자대학교 사회복지대학원 사회복지학 석사,(전)일본군성노예제해결정의기억연대 이사장,0
25,더불어시민당,전국,비례대표,정필모,정당인,61,19580603,성균관대학교 대학원 언론학박사,(전)KBS 부사장,0
26,미래한국당,전국,비례대표,신원식,무직,61,19580724,국민대학교 대학원 경영학과 졸업(경영학 박사),(전)합동참모본부 합동참모차장,0
27,더불어시민당,전국,비례대표,양원영,정당인,48,19710514,독일 라이프치히 경영대학원 경영학 석사(2006.8.~2007.7.),(전)에너지전환포럼 사무처장,0
28,미래한국당,전국,비례대표,조명희,경북대 항공위성시스템 전공 교수,64,19550914,"일본 도카이대학교 해양공학과 졸업(공학박사, 1996.9.~1998.9.)",(전)국가과학기술위원회 위원,0
29,더불어시민당,전국,비례대표,양정숙,변호사,55,19650312,이화여자대학교 대학원 법학박사 수료,(현)대한변호사협회 인권위원,0
30,더불어시민당,전국,비례대표,전용기,정당인,28,19911026,한양대학교 대학원 경영컨설팅학 석사,(전)더불어민주당 전국대학생위원장,0
31,미래한국당,전국,비례대표,정운천,제20대 국회의원,66,19540410,고려대학교 농업경제학과 졸업(학사),(전)농림수산식품부 장관,0
32,미래한국당,전국,비례대표,서정숙,약사,67,19530218,이화여자대학교 약학과 학사,(전)한국여약사회 9대 회장,0
33,더불어시민당,전국,비례대표,양경숙,한국재정정책연구원 원장,57,19620906,고려대학교 대학원 행정학박사,(현)한국재정정책연구원 원장,0
34,미래한국당,전국,비례대표,이용,스포츠정책전문가,41,19780623,한국체육대학교 대학원 체육학과 졸업(이학박사),(전)봅슬레이 스켈레톤 국가대표 총감독,0
35,미래한국당,전국,비례대표,허은아,교수,47,19720526,성균관대학교 대학원 경영학과 졸업(박사),(현)한국이미지전략연구소 소장,0
