,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,한나라당,서울특별시,종로구,강민경,전통무예 뫄한뭐루 서울마루 사무총장,48,19620522,인천전문대학 경기과 졸업,現민주평통자문회의 자문위원,0
1,민주당,서울특별시,종로구,경점순,정당인,53,19570526,미기재,바르게살기운동 사직동위원회 부위원장,0
2,민주당,서울특별시,중구,송희,사업(임대업대표),56,19540215,고구려대학교 재학중(2학년),한국청소년 육성회 중림 어머니회 회장,0
3,한나라당,서울특별시,용산구,이상순,정당인,49,19600905,호원대학교 무역경영학과 재학,現 한나라당 서울시당 디지털정당위원회 용산지회장,0
4,민주당,서울특별시,용산구,왕향자,주부,52,19571116,배성 여자 상업고등학교 (졸업 197701),전)농구여자국가대표선수,0
5,한나라당,서울특별시,성동구,윤순영,정당인,59,19501016,이천양정여자고등학교 졸업,現 한나라당서울시당 여성위원회 성동을여성지회장,0
6,민주당,서울특별시,성동구,조복심,정당인,56,19540305,노안초등학교 졸업,무학여자중학교 어머니회 부회장,0
7,한나라당,서울특별시,광진구,남옥희,정당인,57,19530502,미기재,현)민주평통자문회의 광진구협의회 부회장,0
8,민주당,서울특별시,광진구,김기란,주부,47,19620905,세종사이버대학교  사회복지학부 사회복지행정학과 재학중,녹색어머니연합회 명예회장,0
9,한나라당,서울특별시,동대문구,한숙자,부동산임대업,61,19481107,해성국제컨벤션고등학교 졸업,현 동대문갑 당원협의회 여성지회장,0
10,민주당,서울특별시,동대문구,유혜경,동대문구장안지역 아동센터장,47,19620925,중앙대학교행정대학원 졸업,경복대학 복지행정 외래교수,0
11,한나라당,서울특별시,중랑구,황판남,정당인,53,19570120,미천초등학교졸업,현 한국자유총연맹중랑구지회여성회장,0
12,민주당,서울특별시,중랑구,은승희,정당인,44,19650828,우석대학교 졸업,전북정읍태인고등학교교사,0
13,한나라당,서울특별시,성북구,권영애,JK무역대표,50,19590901,신구대학 치위생과 졸업,현) 돈암적십자 회장,0
14,민주당,서울특별시,성북구,이인순,어린이집 원장,48,19611120,한성대학교 교육대학원 유아교육전공 졸업,목자 어린이집 원장,0
15,민주당,서울특별시,성북구,이윤희,주부,40,19690825,이화여자대학교 식품영양학과 졸업,이화여대 가정과학대학 학생회장,0
16,한나라당,서울특별시,강북구,강남연,정당인,53,19560703,상주중학교 졸업,現 강북을 당원협의회 번3동 여성회장,0
17,민주당,서울특별시,강북구,김도연,정당인,38,19711130,동덕여자대학교 (졸업-1996. 2),,0
18,한나라당,서울특별시,도봉구,차명자,정당인,60,19500303,함양여자고등학교 졸업,現 민주평통자문회의 도봉구여성분과위원장,0
19,민주당,서울특별시,도봉구,서영혜,정당인,57,19530110,미기재,(현)민주당 서울시당 환경특별위원회 부위원장,0
20,한나라당,서울특별시,노원구,마은주,(재)한국지식문화재단 이사,48,19611113,효성여자대학교 가정학과졸업(현 대구가톨릭대학교),(현)노원 독서운동 본부장,0
21,민주당,서울특별시,노원구,봉양순,건강보험공단 사원,48,19611123,호남대학교 졸업,정당인부위원장,0
