,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,새정치민주연합,충청남도,충청남도,김연,상담사,46,19671105,경기대학교 대학원 졸(상담학박사),(전) 민주당충남도당여성위원장,0
1,새정치민주연합,충청남도,충청남도,홍재표,건설업,49,19640927,신성대학교 토목정보과 졸업,(전) 민주평화통일 자문위원,0
2,새누리당,전라북도,전라북도,허남주,정당인,51,19621230,우석대학교 화학과 졸업,(전) 호원대학교 겸임교수,0
3,새정치민주연합,전라북도,전라북도,최은희,주) 현대자동차 선진산업엔진 이사,52,19620118,호원대학교 행정학과 재학,(현)유네스코전주음식창의 도시시민 네트워크이사,0
4,새정치민주연합,전라북도,전라북도,정진세,무직,35,19790323,전북대학교 대학원 정치학 박사과정 수료,(전)전주시정 발전연구소 연구원,0
5,통합진보당,전라북도,전라북도,이현숙,정당인,49,19640615,단국대학교 3년 제적 (1983. 3. 3~1986. 2 28),(전) 전국여성노동조합 전북지부사무장,0
6,새누리당,전라남도,전라남도,권애영,회사원,49,19640926,광주여자대학교 졸업,(현)사단법인 한자녀더갖기 운동연합 광주전남본부장,0
7,새정치민주연합,전라남도,전라남도,이혜자,정당인,57,19561005,목포대학교 대학원 박사과정 휴학,(현)새정치민주연합 여성국장,0
8,새정치민주연합,전라남도,전라남도,박철홍,무직,57,19561121,광주제일고등학교 졸업,(전)전남 장애인 론볼연맹회장,0
9,새정치민주연합,전라남도,전라남도,강정희,여수성폭력상담소 소장,51,19630413,고려대학교 인문정보대학원 사회복지 석사과정 수료,(현)여수 성폭력상담 소장,0
10,새정치민주연합,전라남도,전라남도,김성일,농업,48,19660114,순천대학교 재학,(전)사단법인 한국농업경영인 전라남도연합회장,0
11,통합진보당,전라남도,전라남도,오미화,농업,46,19680605,덕성여자대학교 불어불문학과 졸업,(전)영광군 여성농민회장,0
12,새누리당,경상북도,경상북도,김정숙,아모레카운셀러 대표,59,19541226,한국방송통신대 행정학과 졸업,(현)사)경북지체장애인협회 칠곡군지회장,0
13,새누리당,경상북도,경상북도,박용선,(주)동하이엔씨 대표이사,45,19690228,위덕대학교 경영대학원졸업(경영학석사),(전)사회단체포항향토청년회 회장,0
14,새누리당,경상북도,경상북도,김인중,무직,65,19480905,경북대학교 경영대학원(석사)졸업,(전)(주)NH개발 경북북부지사장,0
15,새누리당,경상북도,경상북도,조주홍,(주)한일건설 대표이사,44,19691015,홍익대학교 경영학과 졸업,(현)한국스카우트연맹경북연맹 영덕지구연합회장,0
16,새정치민주연합,경상북도,경상북도,배영애,정당인,68,19451019,김천여자중학교 졸업,(전)민주당경북도당여성위원장,0
17,새정치민주연합,경상북도,경상북도,김위한,자영업,42,19710830,숭실대학교 사회과학대학 정치외교학과 졸업,(전)안동지역위원장,0
18,새누리당,경상남도,경상남도,이성애,정당인,53,19600608,경남대학교 경영대학원 경영학과 졸업,(현)경남복지정책연구원 이사,0
19,새누리당,경상남도,경상남도,이상철,포스코특수강노동조합위원장,54,19600416,창원기능대학 금속재료과 졸업,(현)한국노총 금속연맹 경남본부 의장,0
20,새누리당,경상남도,경상남도,박금자,현산테크주식회사 이사,61,19530521,순천제일대학교 사회복지과 졸업,(현)진주시여성단체협의회장,0
21,새정치민주연합,경상남도,경상남도,전현숙,시민단체활동가,43,19710121,계명대학교 정책대학원(석사) 졸업,(전)진해여성의전화 회장,0
22,새정치민주연합,경상남도,경상남도,김지수,약사,44,19700318,덕성여대 문화산업대학원 임상약학석사(임상약학전공),(현)경성대학교 약학대학 외래교수,0
23,새누리당,제주특별자치도,제주특별자치도,유진의,자영업,51,19630413,경남대학교 사범대학 가정교육학과 졸업,(전)제주도지체장애인협회 운영위원,0
24,새누리당,제주특별자치도,제주특별자치도,김영보,정당인,61,19521224,제주교육대학(2년제) 졸업,(전)서귀포시 여성단체협의회 회장,0
25,새누리당,제주특별자치도,제주특별자치도,홍경희,자영업,56,19571104,제주대학교 행정대학원 정치외교학과 졸업,(전)새누리당제주도당 여성위원장,0
26,새누리당,제주특별자치도,제주특별자치도,이기붕,자영업,56,19571029,제주대학교 산업대학원(석사) 전자전기공학과 졸업,(전)제주시의회 의원,0
27,새정치민주연합,제주특별자치도,제주특별자치도,고태순,자영업,57,19561112,"산업정보대학(현,제주국제대학교) 관광호텔 경영과 졸업",(전)민주당제주특별자치도당제주시을지역여성위원장,0
28,새정치민주연합,제주특별자치도,제주특별자치도,박규헌,도의회의원,63,19500904,"제주산업정보대학(현, 제국국제대학교) 복지행정과 졸업",(현)제주특별자치도의회의원,0
29,새정치민주연합,제주특별자치도,제주특별자치도,강익자,자영업,57,19561001,제주관광대학교 사회복지과(야) 졸업,(전)민주당제주특별자치도당서귀포시지역여성위원장,0
30,새누리당,서울특별시,서울특별시,이명희,(전)시민운동가,65,19490528,이화여자대학교 졸업(사학과 학사),(전)바른선거시민모임전국연합회 및 서울시연합회 창립회장,0
