,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,새누리당,강원도,태백시영월군평창군정선군,염동열,정당인,51,19610228,국민대학교 대학원 졸업(행정학박사),(전)한국청년회의소 중앙회장,56.61
1,새누리당,강원도,철원군화천군양구군인제군,한기호,국회의원,59,19520813,동국대학교 행정대학원 안보행정학과 석사과정 5학기 수료,(현)제18대 국회의원,63.23
2,새누리당,충청북도,청주시상당구,정우택,정당인,59,19530218,미국 하와이대학교 대학원 경제학3년(1984. 6.~1987. 5.) 졸업(경제학 박사),"(전)15,16대 국회의원",53.89
3,민주통합당,충청북도,청주시흥덕구갑,오제세,국회의원,63,19490405,서울대학교 법과대학 행정학과 졸업,(현)제18대 국회의원,44.73
4,민주통합당,충청북도,청주시흥덕구을,노영민,국회의원,54,19571125,연세대학교 경영학과 졸업,(현)국회 지식경제위원,52.96
5,새누리당,충청북도,충주시,윤진식,국회의원,66,19460304,건국대학교 일반대학원 국제무역학과 졸업(경제학박사),전)산업자원부장관,69.27
6,새누리당,충청북도,제천시단양군,송광호,국회의원,69,19420510,성균관대학교 경제학과 졸업,(전)한나라당최고위원,56.29
7,민주통합당,충청북도,청원군,변재일,국회의원,63,19480902,미국 펜실베니아대학교 대학원 정치학 2년(81.9∼83. 5)졸업 (국제정치학 석사),(전)정보통신부 차관,49.31
8,새누리당,충청북도,보은군옥천군영동군,박덕흠,대한전문건설협회 중앙회 회장,58,19531018,한양대학교 대학원 토목공학과 박사과정 졸업,(현)새누리당 중앙위 재정분과 부위원장,40.67
9,새누리당,충청북도,증평군진천군괴산군음성군,경대수,변호사,54,19580318,서울대학교 대학원(석사과정) 법학과 수료,(현)새누리당 충북도당 위원장,53.66
10,민주통합당,충청남도,천안시갑,양승조,국회의원,53,19590321,단국대학교 정책경영대학원 특수법무학과 졸업(법학석사),(현)제18대 국회의원,51.53
11,민주통합당,충청남도,천안시을,박완주,정당인,45,19661110,성균관대학교 한국철학과 졸업,(전)민주통합당 천안을 지역위원장,41.91
12,민주통합당,충청남도,공주시,박수현,정당인   ,47,19640814,연세대학교 행정대학원 사회복지전공 석사과정 졸업,(전)충청남도(안희정도지사) 정책특별보좌관,47.87
13,새누리당,충청남도,보령시서천군,김태흠,정당인,49,19630111,서강대학교공공정책대학원 사회복지정책학과 졸업(행정학석사),(전)충남정무부지사,46.42
14,자유선진당,충청남도,아산시,이명수,국회의원,57,19550211,성균관대 대학원 졸업(행정학과 행정학 박사),(전) 충청남도 행정부지사,40.88
15,자유선진당,충청남도,서산시태안군,성완종,기업인,60,19510820,미기재,(현)서산장학재단 이사장,42.55
16,자유선진당,충청남도,논산시계룡시금산군,이인제,국회의원,63,19481211,서울대학교 법과대학 졸업,(전)노동부장관,42.36
17,새누리당,충청남도,부여군청양군,김근태,정당인,59,19521126,동국대학교 경영대학원 경영학과 졸업,(전)제1야전군 사령관,43.54
18,새누리당,충청남도,홍성군예산군,홍문표,정당인,64,19471005,한양대학교 행정대학원(석사) 졸업,(전)17대 국회의원,50.8
19,새누리당,충청남도,당진시,김동완,정당인,53,19580620,서울대학교 행정대학원 졸업(석사),(전)대통령비서관,44.2
20,민주통합당,전라북도,전주시완산구갑,김윤덕,정당인,45,19660523,전북대학교 상과대학 졸업,(현)노무현재단기획위원,52.08
21,민주통합당,전라북도,전주시완산구을,이상직,이스타항공 회장,49,19630130,고려대학교 경영대학원 졸업(경영학석사),(전)(주)케이아이씨 대표이사,46.96
22,민주통합당,전라북도,전주시덕진구,김성주,정당인,48,19640410,서울대학교 인문대학 국사학과졸업,(전)전라북도의회 환경복지위원회 위원장,62.52
23,민주통합당,전라북도,군산시,김관영,변호사,42,19691115,서울대학교 행정대학원 행정학과 졸업,전)재정경제부 사무관,60.04
24,민주통합당,전라북도,익산시갑,이춘석,국회의원,49,19630307,원광대학교 대학원 법학과 박사과정 수료,(현)18대 국회의원,77.98
25,민주통합당,전라북도,익산시을,전정희,전북대학교 겸임교수,51,19601024,전북대학교 대학원 정치학 박사,(현) 전북대학교 겸임교수,39.52
26,무소속,전라북도,정읍시,유성엽,국회의원,52,19600125,서울대학교 사회과학대학 외교학과 졸업,(전)정읍시장,48.73
27,통합진보당,전라북도,남원시순창군,강동원,정당인,59,19530120,경기대학교 정치전문대학원 박사과정 졸업(정치학박사),(전)농수산물 유통공사 감사,49.36
28,민주통합당,전라북도,김제시완주군,최규성,국회의원,62,19500204,서울대학교 법과대학 법학과 졸업,전)민주통합당 초대 사무총장,54.95
29,민주통합당,전라북도,진안군무주군장수군임실군,박민수,변호사,47,19640921,고려대학교 법과대학 법학과 졸업,(전)국민시대 전북지부 공동대표,49.35
30,민주통합당,전라북도,고창군부안군,김춘진,국회의원,59,19530124,경희대학교 대학원 치의학과 졸업(치의학 박사),(현)제18대 국회의원,39.34
31,민주통합당,전라남도,목포시,박지원,국회의원,69,19420605,단국대 상학과 졸업,(전)김대중대통령 비서실장,71.17
32,민주통합당,전라남도,여수시갑,김성곤,국회의원,59,19521106,美 템플대학교 졸업 종교학전공 철학박사(1985년 ~ 1991년),(전)17대 국회국방위원장,43.1
33,민주통합당,전라남도,여수시을,주승용,국회의원,59,19520727,고려대학교 경영대학원 졸업(경영학 석사),17대·18대 국회의원,70.5
34,통합진보당,전라남도,순천시곡성군,김선동,(현)국회의원,44,19670909,고려대학교 물리학과 제적(1985년 3월 ~ 1989년 2월),(전) 2006년 민주노동당 사무총장,56.4
35,민주통합당,전라남도,나주시화순군,배기운,정당인,61,19500929,서울대학교 대학원 법학과 졸업,(전) 보훈복지공단 이사장,52.73
36,민주통합당,전라남도,광양시구례군,우윤근,국회의원,54,19570924,전남대학교 대학원 법학과 졸업(법학박사),(전)민주당 원내수석부대표,53
37,민주통합당,전라남도,담양군함평군영광군장성군,이낙연,국회의원,59,19521220,서울대학교 법학과 졸업,(현) 18대 국회의원 ,77.32
38,민주통합당,전라남도,고흥군보성군,김승남,정당인,45,19661006,전남대학교 행정대학원 행정학석사 졸업,전)87년 전남대학교 총학생회장,51.67
39,민주통합당,전라남도,장흥군강진군영암군,황주홍,정당인,60,19520227,미국 미주리대학교 대학원 정치학박사과정 5년 졸업(정치학박사),(전)전남 강진군수(3선),51.87
40,민주통합당,전라남도,해남군완도군진도군,김영록,국회의원,57,19550217,미국 뉴욕주 시라큐스대학 맥스웰대학원 행정학과 2년 졸업(학위명:행정학석사),(현)18대 국회의원,56.04
41,민주통합당,전라남도,무안군신안군,이윤석,국회의원,52,19600316,경남대학교 대학원 정치외교학과 정치학박사 졸업,(현) 민주통합당 원내부대표,64.38
42,새누리당,경상북도,포항시북구,이병석,국회의원,59,19521028,고려대학교 대학원 졸업(정치학박사),"16,17,18대 국회의원",70.44
43,새누리당,경상북도,포항시남구울릉군,김형태,정당인,59,19521210,국민대학교 정치외교학과 졸업,전)KBS 본사 국장,41.24
44,새누리당,경상북도,경주시,정수성,국회의원,66,19460102,경북고등학교 졸업,(현) 제18대 국회의원,57.33
45,새누리당,경상북도,김천시,이철우,국회의원,56,19550815,연세대학교 행정대학원 졸업(정치학석사),(전)경상북도부지사,83.45
46,새누리당,경상북도,안동시,김광림,국회의원,63,19480428,경희대학교 대학원 졸업 행정학 박사,(현)18대 국회의원,82.49
47,새누리당,경상북도,구미시갑,심학봉,(현)구미경제발전위원회위원장,51,19610411,"미조리-콜롬비아대학교 경제학과 졸업(경제학석사, 95.12~97.12)",(전)청와대 경제수석실 지식경제비서관실 선임행정관,61.23
48,새누리당,경상북도,구미시을,김태환,국회의원,68,19430924,연세대학교 정치외교학과 졸업,(현)제18대 국회의원,57.94
49,새누리당,경상북도,영주시,장윤석,제18대 국회의원,62,19500105,서울대학교 법과대학 졸업,전)법무부 검찰국장(검사장),57.11
50,새누리당,경상북도,영천시,정희수,국회의원,58,19531025,미국 일리노이대학교 대학원 경제학과 졸업(경제학 박사) (수학기간:1985.8~1992.10),(현)새누리당 영천시 국회의원,45.52
51,새누리당,경상북도,상주시,김종태,한국군사문제연구원 연구위원,63,19490316,수원대학교 행정대학원 졸업(행정학박사),(전)국군기무사령관,60.6
52,새누리당,경상북도,문경시예천군,이한성,국회의원,55,19570405,서울대학교대학원법학과졸업(법학박사),(전)창원지검검사장,53.26
53,새누리당,경상북도,경산시청도군,최경환,국회의원,57,19550227,위스콘신대학교 경제학 박사 졸업(1987.9.~1991.5.),(前)지식경제부 장관,63.6
54,새누리당,경상북도,고령군성주군칠곡군,이완영,정당인,54,19570707,한국항공대학교대학원 항공운항관리학과 졸업(경영학박사),(전)대구지방고용노동청장,50.49
55,새누리당,경상북도,군위군의성군청송군,김재원,영남대 법대 겸임교수,47,19641220,서울대학교 행정대학원 졸업,(전) 제17대 국회의원,72.67
56,새누리당,경상북도,영양군영덕군봉화군울진군,강석호,정치인(국회의원),56,19551203,한국외국어대학교 스페인어과 졸업,현)제18대 국회의원(농림수산식품위원회 간사),55
57,새누리당,경상남도,창원시의창구,박성호,대학교수,55,19570313,경희대학교 대학원 경제학과 졸업(경제학 박사),(전)국립 창원대학교 제5대 총장,54.12
58,새누리당,경상남도,창원시성산구,강기윤,일진금속공업(주) 대표이사,51,19600604,창원대학교 대학원 졸업(행정학 박사),(전)한나라당 18대 창원을 국회의원 출마,49.04
59,새누리당,경상남도,창원시마산합포구,이주영,국회의원(제18대),60,19510930,서울대학교 법과대학 법학과 졸업,"(전)제16,17대 국회의원",68.82
60,새누리당,경상남도,창원시마산회원구,안홍준,국회의원,61,19510302,경상대학교 대학원 졸업(의학박사),"(현)제17,18대 국회의원",53.85
61,새누리당,경상남도,창원시진해구,김성찬,KAIST 초빙교수,57,19540507,해군사관학교 졸업(30기),(전)해군참모총장(28대),58.64
62,새누리당,경상남도,진주시갑,박대출,정당인,51,19610318,연세대학교 행정대학원 외교안보전공 졸업(행정학 석사),(전)서울신문 논설위원,39.09
63,새누리당,경상남도,진주시을,김재경,국회의원,50,19611010,경상대학교 법경대학(현 법과대학) 법학과 졸업,(전)한나라당 경남도당 위원장,54.2
64,새누리당,경상남도,통영시고성군,이군현,국회의원,60,19520312,미국 캔자스주립대학교 교육행정학 박사(1981.1.~1983.7.),現)제18대 국회의원,61.44
65,새누리당,경상남도,사천시남해군하동군,여상규,국회의원,63,19480915,서울대학교 법과대학 법학과 졸업,(현) 국회의원,50.3
66,민주통합당,대전광역시,서구갑,박병석,국회의원,60,19520125,한양대대학원 신문방송학 박사과정 수료,(전)민주당 정책위의장,54.53
67,민주통합당,대전광역시,서구을,박범계,변호사,48,19630427,연세대학교 법학과 졸업,(전)노무현대통령 법무비서관,43.62
68,민주통합당,대전광역시,유성구,이상민,국회의원,54,19580122,충남대학교 법학과 졸업,(현)민주통합당 원내부대표,52.54
69,민주통합당,경상남도,김해시갑,민홍철,변호사,50,19610418,부산대학교 대학원 법학과 졸업(석사),(전)국방부 고등군사법원장,48.33
70,새누리당,경상남도,김해시을,김태호,국회의원,49,19620821,서울대학교 대학원 졸업(교육학박사),(전)경남도지사,52.11
71,새누리당,경상남도,밀양시창녕군,조해진,국회의원,48,19630804,서울대 대학원 법학과 졸업(법학석사),(전) 한나라당 대변인,52.81
72,무소속,경상남도,거제시,김한표,정치인,57,19540808,한국외국어대학교 대학원 행정학과 졸업(행정학박사),(전) 거제경찰서장,35.33
73,새누리당,경상남도,양산시,윤영석,아시아도시연맹 이사장,47,19641007,미국 듀크대(DUKE) 석사(MA 2002.07~2004.06),제37회 행정고시 합격,52.3
74,새누리당,경상남도,의령군함안군합천군,조현룡,정당인,66,19451230,마산고등학교 졸업,(전) 건설교통부 부산항공청장,54.48
75,새누리당,경상남도,산청군함양군거창군,신성범,국회의원,48,19630601,서울대학교 사회과학대학 인류학과 졸업,(현)18대국회의원,46.22
76,민주통합당,제주특별자치도,제주시갑,강창일,국회의원,60,19520128,"동경대학대학원인문사회계연구과졸업.문학박사(동양사학전공,기간:'87.4.1~'94.3.31) ",(현) 국회 독도영토수호대책특별위원장,43.35
77,민주통합당,제주특별자치도,제주시을,김우남,정치인,56,19550523,경희대학교 대학원(석사과정) 경영학과(경영학) 수료,"제17,18대 국회의원",69.89
78,민주통합당,제주특별자치도,서귀포시,김재윤,국회의원,46,19650524,명지대학교 대학원 국어국문학과(현대문학 문학박사) 졸업,현) 제18대 국회의원,37.1
79,새누리당,대전광역시,대덕구,박성효,정당인,57,19550220,대전대학교대학원 행정학과 공공행정(행정학 박사),(前) 대전광역시장,50.19
80,새누리당,울산광역시,중구,정갑윤,국회의원,61,19501108,울산대학교 산업대학원 산업관리공학 석사 졸업,(현)국회 예산결산특별위원회 위원장,50.39
81,새누리당,울산광역시,남구갑,이채익,정당인,56,19550527,울산대학교 대학원 행정학박사,"(전) 민선 1,2대 울산광역시 남구청장",52.54
82,새누리당,울산광역시,남구을,김기현,정치인,53,19590221,서울대학교 대학원 법학과 수료(석사과정),(전) 한나라당 대변인,56.57
83,새누리당,울산광역시,동구,안효대,정당인,56,19550727,계명대학교 경영학과 졸업,(전)현대중공업 근무,51.54
84,새누리당,울산광역시,북구,박대동,정당인,60,19510513,서울대학교 경제학과 졸업,전)예금보험공사 사장,52.37
85,새누리당,울산광역시,울주군,강길부,국회의원,69,19420605,서울대학교 환경대학원 졸업,(전)건설교통부 차관,63.65
86,민주통합당,세종특별자치시,세종특별자치시,이해찬,정당인,59,19520710,서울대학교 사회학과 졸업,(전) 제36대 국무총리,47.88
87,민주통합당,경기도,수원시갑,이찬열,국회의원,52,19590715,연세대학교 경제대학원 졸업(경제학 석사),(현)제18대 국회의원,51.62
88,민주통합당,경기도,수원시을,신장용,정당인,48,19631201,경남대학교 정치외교학과 졸업,(전)민주당 부대변인,40.53
