,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,한나라당,경상남도,경상남도,원경숙,도남사회복지관 관장,58,19510715,경남대학교 행정대학원 사회복지학과 졸업,現경남사회복지관협회 협회장,0
1,한나라당,경상남도,경상남도,최해경,한국노총 경상남도본부 사무처장,43,19660919,창신대학 일어과 졸업,現한국노총 경상남도본부 사무처장,0
2,한나라당,경상남도,경상남도,김정자,한나라당경남도당 사무부처장,52,19580105,경남대학교 경영학과 졸업,前마산시청 공무원,0
3,민주당,경상남도,경상남도,김경숙,시인,49,19601223,고려대학교 인문정보대학원 졸업,경남불교문인협회 회장,0
4,민주노동당,경상남도,경상남도,이종엽,- ,46,19630619,영산대학교 재학,창원시기초의원,0
5,한나라당,제주특별자치도,제주특별자치도,현정화,무직,48,19610923,제주대학교 원예학과 졸업,(전)사단법인 웅변인협회 제주도본부 회장,0
6,한나라당,제주특별자치도,제주특별자치도,강창수,건설업,41,19681022,경기대학교 일반대학원 관광경영학과 졸업(관광학박사),(현)사회복지공동모금회 모금분과 실행위원,0
7,한나라당,제주특별자치도,제주특별자치도,이선화,프리랜서,49,19600913,제주대학교 일본어학과 졸업,(전)제주MBC라디오 제작부장,0
8,민주당,제주특별자치도,제주특별자치도,방문추,제주특별자치도의회의원,54,19550912,애월상업고등학교(현 애월고등학교)졸업,(현)제주특별자치도의회 의원,0
9,민주당,제주특별자치도,제주특별자치도,윤춘광,(주)휴먼그린 대표이사,57,19520815,미기재,(현)4·3도민연대 공동대표,0
10,민주노동당,제주특별자치도,제주특별자치도,김영심,자영업,36,19730816,제주대학교 사학과 졸업,(전)민주노총 제주본부 부본부장,0
11,국민참여당,제주특별자치도,제주특별자치도,박주희,정당인,35,19740806,탐라대학교 경영·사회복지대학원 석사과정 3학기재학,(전)제주장애인자립생활센터 팀장,0
12,한나라당,서울특별시,서울특별시,김정재,서울시의회의원,44,19660215,이화여자대학교 대학원 정치외교학과 졸업(정치학 석사),現 서울시의회 의원,0
13,한나라당,서울특별시,서울특별시,고만규,(사)곰두리봉사협회 회장,49,19610507,경민대학 사회복지학과 졸업,前 노원구의회 의원,0
14,한나라당,서울특별시,서울특별시,이진화,경제정의실천불교시민연합실무부위원장,49,19600909,강원대학교 자연과학대학 생물학과 졸업,現 (사)이웃을 돕는 사람들 상임이사,0
15,한나라당,서울특별시,서울특별시,강신표,한국노총 서울지역본부 사무처장,49,19610310,천호상업전수학교 졸업(現동산정보산업고등학교),現 한국노총 서울지역본부 부의장 겸 사무처장,0
16,한나라당,서울특별시,서울특별시,이차순,정당인,54,19560204,서울디지털대학교 상담심리학부 상담심리전공 1년 휴학,前 친박연대 여성국장,0
17,민주당,서울특별시,서울특별시,한명희,여성노동운동가,58,19520419,성공회대학교대학원 NGO대학원(3학기) 재학,한국여성단체연합 공동대표,0
18,민주당,서울특별시,서울특별시,이상호,한국장애인단체 총연합회 이사,42,19670709,성공회대학교대학원 재학,한국장애인단체 총연합회 이사,0
19,민주당,서울특별시,서울특별시,김명신,(사)함께하는 교육시민모임 공동회장,53,19560903,성공회대학교대학원 사회학과 졸업,함께하는 교육시민모임 공동회장,0
20,민주당,서울특별시,서울특별시,정용림,민주당 서울시당 조직실장,57,19520728,광주대학교 경영학과 3학년 수료(2007.3.2~2010.2.23),서울시당 조직실장,0
21,민주당,서울특별시,서울특별시,장정숙,민주평화국민회의 공동대표,58,19520117,연세대학교 교육대학원 졸업(교육학석사),아침을 여는 여성들의 평화모임 공동대표,0
22,한나라당,부산광역시,부산광역시,이경혜,(사)한국시각장애인연합회 부산광역시지부장,53,19570428,이화여자대학교 사범대학 불어교육과 졸업,"現, 대한장애인체육회 중앙 대의원",0
23,한나라당,부산광역시,부산광역시,김상식,한국노총 부산지역본부 부의장,44,19660220,진주기계공업고 졸업,"現, 부산항운 노동조합 상임 부위원장",0
24,한나라당,부산광역시,부산광역시,김름이,감만2동 새마을금고이사장,56,19540115,동의대학교 행정학부 3학년 재학중,"現, 한나라당 부산광역시당 여성위원장",0
