,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,무소속,대구광역시,중구남구,임병헌,정치인,68,19531010,영남대학교 대학원 졸업(행정학 석사),(전)대구광역시 남구청장,22.39
1,국민의힘,충청북도,청주시상당구,정우택,정당인,69,19530218,미국 하와이대 대학원 졸업(경제학 박사)(1984.6~1987.5),"(전)국회의원(15,16,19,20대)",56.92
2,국민의힘,경기도,안성시,김학용,정당인,60,19611210,중앙대학교 경제학과 졸업,(전)제18·19·20대 국회의원,54.18
3,국민의힘,서울특별시,서초구갑,조은희,정당인,60,19610520,서울대학교 대학원 국어국문학과 졸업 (문학석사),(현)윤석열 대통령후보 선거대책본부 국민공감 미래정책단장,72.72
4,국민의힘,서울특별시,종로구,최재형,정당인,65,19560902,서울대학교 법학과 졸업,(전)감사원장,52.09
