,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,더불어민주당,서울특별시,강북구,최미경,협동조합 이사장,51,19670224,서울대학교 약학대학 약학과 졸업,(전)(사)함께가는서울장애인부모회이사,0
1,자유한국당,서울특별시,강북구,김미임,솔로몬어린이집원장,52,19660608,동아인재대학 (현: 동아보건대학교) 유아교육과졸업,(전)혜화여고 운영위원장,0
2,자유한국당,서울특별시,도봉구,조미애,정당인,55,19630606,서울사이버대학교 사회복지학과 졸업,(현) 자유한국당 서울시당 여성위원회 수석부위원장,0
3,더불어민주당,서울특별시,도봉구,이길연,정당인,67,19501120,미기재,(현) 더불어민주당도봉갑지역위원회여성위원장,0
4,더불어민주당,서울특별시,노원구,이미옥,주)원컴씨에스 대표이사,54,19630723,한국방송통신대학교 환경보건학과 재학,(현)더불어민주당 노원병지역위원회 을지키는민생실천위원장,0
5,자유한국당,서울특별시,노원구,신동원,정당인,55,19630201,성신여자대학교 음악학과 졸업,(현)자유한국당 중앙위원회 여성분과 부위원장,0
6,더불어민주당,서울특별시,노원구,김선희,자영업,57,19610327,서울사이버대학교 사회복지학부 사회복지전공 재학,(전)노원성장부모회 회장,0
7,자유한국당,서울특별시,은평구,박세은,사회복지사,49,19690218,상명대학교 복지상담대학원 사회복지학과 재학(석사과정),(현)한국장애인부모회은평지부장,0
8,더불어민주당,서울특별시,은평구,신윤경,무직,34,19840109,미기재,(전)2017진관초등학교학부모회장,0
9,자유한국당,서울특별시,서대문구,양리리,학습심리상담연구소 소장,41,19760829,명지대학교 대학원 문헌정보학과 수료(박사과정),(전)나사렛대학교 평생학습원 학습코칭전문가과정 겸임교수,0
10,더불어민주당,서울특별시,서대문구,안한희,정당인,59,19590114,미기재,(전)더불어민주당 서울시당 여성위원회 상임위원,0
11,자유한국당,서울특별시,마포구,정혜경,정당인,63,19550213,덕성여자고등학교 졸업,(전)아현동 주민자치위원,0
12,더불어민주당,서울특별시,마포구,최은하,정당인,47,19701018,한국방송통신대학교 청소년교육과 재학,(현)더불어민주당 지역공동체 발전특별위원회 부위원장,0
13,더불어민주당,서울특별시,양천구,최재란,정당인,48,19690725,서울예술전문대학(현 서울예술대학)응용미술전문학사,(현)양천(갑)지역위원회 장애인위원장,0
14,자유한국당,서울특별시,양천구,임준희,정당인,53,19641022,성신여자대학교 불어불문학과 졸업,(현)사단법인 행복교육누리이사,0
15,더불어민주당,서울특별시,강서구,김현희,정당인,53,19641207,미기재,(전)19대 진성준국회의원비서,0
16,자유한국당,서울특별시,강서구,이종숙,정당인,49,19680812,한국방송통신대학교 교육학과 졸업,(현)자유한국당 서울시당 여성팀장,0
17,더불어민주당,서울특별시,강서구,이충숙,(주)센타투어 대표,58,19590803,명지전문대학 사회복지과 졸업,(전)강서병지역위원회국민주권선거대책위원회여성위원장,0
18,더불어민주당,서울특별시,구로구,노경숙,무직,57,19610119,한국방송통신대학교 경영학과 졸업,(현)더불어민주당구로을여성위원장,0
19,자유한국당,서울특별시,구로구,이명숙,자영업,56,19611009,효성여자대학교(현 대구가톨릭대학교) 경영학과 졸업,(전)민주평화통일자문회의 구로구협의회 부회장,0
20,더불어민주당,서울특별시,금천구,강수정,영어교습소 원장,41,19770402,서울대학교 대학원 경영학과 졸업(경영학 석사),(현)더불어민주당 전국청년위원회 청년일자리창출분과위원회 위원장,0
21,자유한국당,서울특별시,영등포구,최봉희,사업가,52,19650809,국민대학교 정치대학원 졸업(정치학 석사),(현)자유한국당 영등포갑 부위원장,0
22,더불어민주당,서울특별시,영등포구,이미자,부동산 중개업,57,19610520,학점인정등에관한 법률의규정에 의한 국가평생교육진흥원 행정전문학사 취득,(현)더불어민주당신길4동협의회장,0
23,자유한국당,서울특별시,동작구,곽향기,변호사,33,19840901,이화여자대학교 대학원 법학과 행정법전공 박사학위과정 수료,(현)대한변호사협회 대의원,0
24,더불어민주당,서울특별시,동작구,이지희,정당인,37,19810406,명지대학교 사회복지학과 재학,(현)동작구갑지역위원회혁신교육위원장,0
25,더불어민주당,서울특별시,관악구,김순미,정당인,49,19680717,연세대학교 정경·창업대학원 국제복지전공 석사과정 제1학기 재학,(현)더불어민주당서우리당교육특별위원회위원장,0
26,자유한국당,서울특별시,관악구,김옥자,주부,66,19510716,안덕중학교 졸업,(현)자유한국당 서울시당 관악갑 여성지회장,0
27,더불어민주당,서울특별시,관악구,이상옥,정당인,52,19660501,미기재,(현)서울시당 여성위원회 부위원장,0
28,더불어민주당,강원도,정선군,조현화,보험설계사,48,19690923,세경대학교 미술치료과 졸업,(현)정선소방서 신동여성의용소방대장,0
29,더불어민주당,강원도,속초시,이영순,자영업,61,19561025,경동대학교 사회복지학과 1학년 재학,(현)속초문화원 부원장,0
30,더불어민주당,강원도,고성군,손미자,주부,57,19610228,고성고등학교 졸업,(전)간성읍주민자치위원회 위원장,0
31,더불어민주당,강원도,양양군,김귀선,주부,56,19610825,양양여자고등학교 졸업,(전)속초양양축협 강원한우주부회 회장,0
32,더불어민주당,강원도,인제군,김용자,정당인,64,19540225,원주여자고등학교졸업,(전)인제군새마을부녀회장,0
