,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,새누리당,강원도,춘천시사선거구,이상민,자영업,45,19690311,강원대학교 공과대학 발효공학과 졸업,(현)춘천시 야구연합(협)회 부회장,35.43
1,새정치민주연합,강원도,춘천시사선거구,김영일,춘천시의회의원,54,19591103,강원대학교 정보과학.행정대학원 부동산학과 석사과정 수료,(현)춘천시의회의장,40.35
2,새누리당,강원도,원주시가선거구,조창휘,축산업,51,19630405,여주 농업고등학교 졸업 (현 여주자영농업고등학교),(전)원주축산업협동조합 이사,38.84
3,새정치민주연합,강원도,원주시가선거구,곽희운,정당인,42,19710910,상지대학교 행정학과 졸업,(전)원주시축구협회 자문위원장,40.2
4,새누리당,강원도,원주시나선거구,황기섭,자영업,61,19520620,상지영서대학 행정과 졸업,(전)우산동장,48.33
5,새정치민주연합,강원도,원주시나선거구,유석연,정당인,58,19560124,육군3사관학교 졸업,(현)제6대 원주시의회의원,33.1
6,새누리당,강원도,원주시다선거구,허진욱,자영업,56,19570625,춘천고등학교부설방송통신고등학교 졸업,(현)새누리당 원주(갑)지도위원,35.46
7,새누리당,강원도,원주시다선거구,권영익,원주시의회 의원,58,19560201,상지대학교 축산학과 졸업,(현)큰나무유치원 설립자,18.13
8,새정치민주연합,강원도,원주시다선거구,용정순,시의원,49,19650209,상지대학교 대학원 여성학과 졸업(문학석사),(현)원주시의원,35.28
9,새누리당,강원도,원주시라선거구,김학수,원주시의원,47,19660607,강원대학교 공과대학 발효공학과 졸업,(전)사단법인 한국음식업중앙회 원주시지부장,29
10,새누리당,강원도,원주시라선거구,박호빈,원주시의회 의원,51,19620920,연세대학교 관리과학대학원 행정학석사,(전)4~5대 원주시의회 의원,15.64
11,새정치민주연합,강원도,원주시라선거구,이성규,정당인,50,19631120,상지영서대학교 행정학과 1학년 재학,(전)새정치민주연합 강원도당 직능위원장,19.64
12,새누리당,강원도,원주시마선거구,김명숙,원주시의회 의원,64,19491208,연세대학교 관리과학대학원 교육행정석사,(현)제6대 원주시의회 의원,28.63
13,새정치민주연합,강원도,원주시마선거구,류인출,정당인(원주시의회 6대의원),47,19670108,대구대학교 사범대학 물리교육과 졸업,(현)원주시의회 6대의원,31.1
14,새누리당,경상북도,봉화군나선거구,김장한,농업,59,19550119,경북전문대학 행정정보관리과 졸업,(전)명호면장,29.67
15,새누리당,경상북도,봉화군나선거구,황재현,봉화군의회의원,53,19610310,경운대학교 산업정보대학원 경영학과 재학,(전)한농연 봉화군연합회 회장,27.87
16,새누리당,경상북도,봉화군다선거구,김제일,농업,51,19630410,계명대학교 불란서학과 졸업,(현)봉화군의회의원,21.65
17,무소속,경상북도,봉화군다선거구,권영준,건설업,53,19610111,김천대학교 (컴퓨터응용모델링계열(사출성형전공))졸업,(전)봉화군의회 부의장,14.81
18,무소속,경상북도,봉화군다선거구,이상식,농업,56,19580316,임기초등학교(현.소천초등임기분교) 졸업,(전)한국가톨릭농민회제23대전국회장,12.12
19,새누리당,경상북도,울진군가선거구,임형욱,제일화원 대표,44,19690915,고려사이버대학교 청소년학과 졸업,(전)울진청년회의소 (JC) 회장,25.07
20,무소속,경상북도,울진군가선거구,장시원,울진군의회의원,43,19710106,서울예술전문대학 극작과 졸업,(전)서울예술전문대학총학생회 부회장,31.6
21,새누리당,경상북도,울진군나선거구,장유덕,(주)컴텍글로벌 이사,43,19710301,"영남외국어대학교 관광레져과 2학년 중퇴 (2010,3~2013,3)",(전)북면청년회장,20.39
22,무소속,경상북도,울진군나선거구,김창오,상업,50,19631020,죽변종합고등학교 졸업,(전)죽변면 제22대 청년회장,20.7
23,새누리당,경상북도,울진군다선거구,백정례,울진군의원,47,19661215,평해공업고등학교 졸업,(현)울진군의회부의장,15.23
24,새누리당,경상북도,울진군다선거구,안순자,울진군의원,57,19560808,미기재,(전)울진군새마을부녀회장,15.67
25,무소속,경상북도,울진군다선거구,이세진,농업,65,19490121,평해중학교2학년중퇴(1961.3.~1962.7.),(전)평해읍 번영회장,18.06
26,새누리당,경상북도,울릉군가선거구,최경환,울릉군의회의원,43,19710305,대경대학 행정정보과 졸업,(전)국민건강보험공단 근무,23.69
27,새누리당,경상북도,울릉군가선거구,정인식,울릉군의회의원,59,19550228,울릉종합고등학교 졸업,(현)울릉군의회의원,14.82
28,새누리당,경상북도,울릉군가선거구,정성환,울릉군의회의원,47,19660930,계명문화대학 인테리어장식디자인과 졸업,(현)울릉군의회의원,18.47
29,무소속,경상북도,울릉군가선거구,공경식,농업,45,19690322,경남대학교 사범대학 체육교육과 졸업,(전)울릉군생활체육회 지도사,23.02
30,새누리당,경상북도,울릉군나선거구,이철우,울릉군의회의원,61,19530517,울릉북중학교 졸업,(현)울릉군의회의원,33.67
31,무소속,경상북도,울릉군나선거구,박인도,건설업,56,19580130,울릉북중학교 졸업,(전)새마을운동중앙회울릉군지회장,38.94
32,새누리당,경상남도,창원시가선거구,김우돌,전진종합광고사 대표,51,19630117,창원대학 무역학과 졸업,(전) 창원시 동읍 주민자치위원회 위원장,23.97
33,새누리당,경상남도,창원시가선거구,김동수,창원시의회의원,48,19650719,경남대학교 법정대학 법행정학부 법학과 졸업,(현) 창원시의회의원,17.76
34,새정치민주연합,경상남도,창원시가선거구,김장하,자영업,58,19560520,창원전문대학 경영정보과 1년 제적,(전) 민주당 경남도당 부위원장,22.51
35,새누리당,경상남도,창원시나선거구,방종근,정당인,66,19471228,창원대학교 대학원(박사) 체육학과 졸업,(전) 창원시의회의원(제4대),28.99
36,새정치민주연합,경상남도,창원시나선거구,주철우,정당인,47,19661206,고려대학교 법과대학 법학과 졸업,(전) 문재인대통령후보 경남선거대책위원회 정책지원단장,19.77
