,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,국민의당,전국,비례대표,신용현,정당인,55,19610309,충남대학교 대학원 물리학 이학박사,(전)한국표준과학연구원장,0
1,정의당,전국,비례대표,이정미,정당인,50,19660207,성공회대학교 NGO대학원 정치정책학전공 석사과정 수료,(전)정의당 대변인,0
2,새누리당,전국,비례대표,송희경,KT 전무,51,19640724,KAIST 경영학 석사 졸업,(전) 한국클라우드산업협회장,0
3,더불어민주당,전국,비례대표,박경미,교수,50,19651015,미국 일리노이대학교 수학교육학 박사(1989.8. ~ 1993.1.),(현)홍익대학교 수학교육과 교수,0
4,국민의당,전국,비례대표,오세정,교수,63,19530217,미국 스탠포드대 대학원 물리학 박사(1976.09~1982.06),(현)서울대 물리천문학과 교수,0
5,더불어민주당,전국,비례대표,김종인,더불어민주당 비상대책위원회위원장,75,19400711,독일 뮌스터대학교 경제학 박사(3년),(전)대통령 경제수석 비서관,0
6,새누리당,전국,비례대표,이종명,리더십강사,56,19590808,육군사관학교 환경지학 졸업,(전) 육군 대령,0
7,정의당,전국,비례대표,김종대,정당인,49,19661113,연세대학교 상경대학 경제학과 졸업,(전)국방부 장관 정책보좌관,0
8,새누리당,전국,비례대표,임이자,노동운동가,52,19640305,고려대학교 노동대학원 법학석사 졸업,(전) 한국노총여성위원회 위원장,0
9,정의당,전국,비례대표,추혜선,정당인,45,19710115,호남삼육고등학교 졸업,(전)언론개혁시민연대 사무총장,0
10,국민의당,전국,비례대표,박주현,변호사,53,19630411,서울대학교 대학원 법학과 석사,(전)청와대 참여혁신수석비서관,0
11,더불어민주당,전국,비례대표,송옥주,정당인,50,19651220,연세대학교 행정대학원 행정학 석사,(현)더불어민주당 홍보국장,0
12,더불어민주당,전국,비례대표,최운열,서강대학교 석좌교수,66,19500402,미국 조지아대학교 경영학 박사(1979. 7.~1982. 5.),(전)서강대학교 부총장,0
13,정의당,전국,비례대표,윤소하,정당인,54,19610910,목포대학교 경영대학 경영학과 졸업,(전)광주전남진보연대 공동대표,0
14,국민의당,전국,비례대표,이상돈,정당인,64,19511204,미국 튤레인대학교(TULANE UNIVERSITY) 법학박사(1981년8월~1983년1월),(현)중앙대 명예교수,0
15,새누리당,전국,비례대표,문진국,노동운동가,67,19490201,환일고등학교 3년 제적,(전) 한국노총 위원장,0
16,국민의당,전국,비례대표,박선숙,정당인,55,19601201,서강대학교 공공정책대학원 국제관계통상외교학과 졸업(정치학 석사),(전)대통령비서실 공보수석 겸 대변인,0
17,더불어민주당,전국,비례대표,이재정,변호사,41,19740802,경북대학교 사법학과 졸업,(전)민변 사무처장,0
18,새누리당,전국,비례대표,최연혜,교수,60,19560402,독일 만하임대학교 대학원 경영학과 박사(1989. 9 ~ 1994. 12),(전) 한국철도공사(코레일) 사장,0
19,새누리당,전국,비례대표,김규환,인제대학교 석좌교수,59,19560618,한국폴리텍Ⅶ 기계공작과 졸업,(전) 대우중공업 33년 근무,0
20,국민의당,전국,비례대표,채이배,공인회계사,41,19750102,고려대학교 법학대학원 석사과정 2년수료,(전)좋은기업지배구조연구소 연구위원,0
21,더불어민주당,전국,비례대표,김현권,농업,51,19640517,서울대학교 천문학과 졸업,(전)의성군 한우협회장,0
22,더불어민주당,전국,비례대표,문미옥,정당인,47,19681220,포항공과대학교대학원 물리학과 이학박사,(전)WISET 실장,0
23,새누리당,전국,비례대표,신보라,정당인,33,19830107,전북대학교 사범대학 교육학과 졸업,(전) 청년이여는미래 대표,0
24,국민의당,전국,비례대표,김수민,정당인,29,19861225,숙명여자대학교 시각영상디자인과 졸업,(현) 국민의당 홍보위원장,0
25,새누리당,전국,비례대표,김성태,교수,61,19540724,美조지아대학교 대학원 행정학 박사(1986.2 ~ 1989.6),(전) 한국정보화진흥원 원장,0
26,더불어민주당,전국,비례대표,이철희,정당인,50,19660329,한신대학교대학원 국가와시민사회 전공 석.박사8학기 수료,(현)더불어민주당 전략기획본부장,0
27,국민의당,전국,비례대표,이태규,정당인,52,19640322,연세대학교 행정대학원 졸업(행정학 석사),(전) 청와대 연설기록 비서관,0
28,더불어민주당,전국,비례대표,제윤경,사회적기업가,44,19710725,덕성여자대학교 심리학과 졸업,(현)사회적기업 에듀머니 대표,0
29,새누리당,전국,비례대표,전희경,사회기관 단체인,40,19751009,이화여자대학교 대학원 행정학과 졸업(석사),(전) 자유경제원 사무총장,0
30,국민의당,전국,비례대표,김삼화,변호사,53,19620801,서울시립대학교 도시행정대학원(현 도시과학대학원) 졸업(경영학 석사),(전) (사)한국여성변호사회장,0
31,국민의당,전국,비례대표,김중로,기업인,65,19501027,연세대학교 행정대학원 졸업(행정학 석사),(전) 보병 제70사단장,0
32,새누리당,전국,비례대표,김종석,여의도연구원장,60,19550801,미국 프린스턴대학교 대학원 졸업(경제학박사)(1980.9 ~ 1984. 6),(현) 홍익대학교 경영대학 교수,0
33,더불어민주당,전국,비례대표,김성수,정당인,59,19560909,서울대학교 독어독문학과 졸업,(전)목포 문화방송 사장,0
34,국민의당,전국,비례대표,장정숙,정당인,64,19520117,연세대학교 교육대학원 음악교육학 석사,(전) 제8대 서울특별시의원,0
35,새누리당,전국,비례대표,김승희,정당인,62,19540206,미국 노틀댐대학교 대학원 화학과 박사(1981.8 ~ 1987. 1),(전) 식품의약품안전처 처장,0
36,더불어민주당,전국,비례대표,권미혁,정당인,57,19590110,이화여자대학교 법정대학 인문사회계열 법학전공 졸업,(전)한국여성단체연합 대표,0
37,새누리당,전국,비례대표,유민봉,교수,58,19580109,미국 오하이오주립대 대학원졸업(행정학 박사)(1986. 9. ~ 1990. 8),(전) 대통령 국정기획수석비서관,0
38,더불어민주당,전국,비례대표,이용득,정당인,62,19530913,성균관대학교 경영학과 졸업,(전)더불어민주당 최고위원,0
39,국민의당,전국,비례대표,이동섭,정당인,59,19561107,국민대학교 대학원 법학박사,(전) 새정치민주연합 사무부총장,0
