,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,한나라당,서울특별시,서울특별시,오세훈,서울시장,49,19610104,고려대학교 대학원 졸업(법학 박사),(現)서울시장,47.43
1,한나라당,부산광역시,부산광역시,허남식,부산광역시장,61,19490314,서울대학교 행정대학원 졸업(행정학 석사),부산광역시장,55.42
2,한나라당,대구광역시,대구광역시,김범일,공무원,59,19501021,서울대학교 경영학과 졸업,(전)산림청장,72.92
3,민주당,인천광역시,인천광역시,송영길,변호사,47,19630321,연세대학교 경영학과 졸업,인천 계양을 3선 국회의원,52.69
4,민주당,광주광역시,광주광역시,강운태,정치인,61,19481115,서울대학교 외교학과 졸업,제6대 광주광역시장,56.73
5,자유선진당,대전광역시,대전광역시,염홍철,경남대학교 북한대학원 석좌교수,65,19440906,중앙대학교 대학원졸업(정치학박사),(전)대전광역시장,46.67
6,한나라당,울산광역시,울산광역시,박맹우,울산광역시장,58,19511206,동의대학교 대학원졸업(행정학박사),(전)경상남도 함안군수,61.26
7,한나라당,경기도,경기도,김문수,경기도지사,58,19510827,서울대학교 경영대학 경영학과 졸,(전)3선 국회의원,52.2
8,민주당,강원도,강원도,이광재,정당인,45,19650228,연세대학교 법학과 졸업,청와대 국정상황실장,54.36
9,민주당,충청북도,충청북도,이시종,정당인,63,19470418,서울대학교 문리과대학 정치학과 졸업,"前 17,18대 국회의원",51.22
10,민주당,충청남도,충청남도,안희정,정당인,45,19650501,고려대학교 철학과 졸업,민주당 최고위원,42.25
11,민주당,전라북도,전라북도,김완주,정무직공무원(전라북도지사),64,19460525,서울대학교 행정대학원 행정학과 졸업,전주시장(재선),68.67
12,민주당,전라남도,전라남도,박준영,공무원(전라남도지사),63,19461021,성균관대학교 대학원 졸업(정치학박사),前 김대중대통령 공보수석 비서관겸 대변인,68.3
13,한나라당,경상북도,경상북도,김관용,경상북도지사,67,19421129,영남대학교 행정대학원 졸업 (행정학석사),現경상북도지사,75.36
14,무소속,경상남도,경상남도,김두관,정치인,51,19590410,동아대학교 정치외교학과 졸업,참여정부 행정자치부장관,53.5
15,무소속,제주특별자치도,제주특별자치도,우근민,정치인,67,19421104,경희대학교 경영행정대학원(행정학석사) 졸업,(전)총무처차관,41.4
