,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,,제주특별자치도,제주특별자치도 교육의원 제주시 동부선거구,부공남,제주특별자치도의회교육의원,64,19530810,제주대학교 교육대학원졸업(교육학석사),(전)제주서중학교 교장,0
1,,제주특별자치도,제주특별자치도 교육의원 제주시 중부선거구,김장영,무직,62,19551028,제주대학교 교육대학원 졸업(교육학석사),(전)제주특별자치도교육청 장학관(과장),0
2,,제주특별자치도,제주특별자치도 교육의원 제주시 서부선거구,김창식,무직,62,19560407,제주대학교 교육대학원 졸업 (교육학 석사),(전) 제주시교육지원청 교육지원 국장,54.67
3,,제주특별자치도,제주특별자치도 교육의원 서귀포시 동부선거구,오대익,제주특별자치도의회 교육의원,71,19460910,경희대학교 교육대학원(교육학석사) 졸업,(전)서귀포시교육장,0
4,,제주특별자치도,제주특별자치도 교육의원 서귀포시 서부선거구,강시백,제주특별자치도의회 교육의원,67,19501018,영남대학교 교육대학원 졸업,(전) 서호초등학교 교장,0
