,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,새누리당,부산광역시,해운대구제1선거구,신정철,무직,67,19470420,동아대학교 교육대학원 교육행정학과 졸업(교육학석사),(전) 자율형사립고등학교 해운대고등학교 교장,61.94
1,새누리당,부산광역시,해운대구제2선거구,최준식,건설업,55,19581116,영산대학교 경영대학원 졸업 ,(전) 해운대구의회 의원,49.5
2,새누리당,부산광역시,해운대구제3선거구,김진영,겸임교수,36,19771228,부산대학교 공과대학원 박사수료,(현) 울산대학교 겸임교수,63.56
3,새누리당,부산광역시,해운대구제4선거구,강무길,(주) 경부 건축사사무소 대표이사,49,19641225,부경대학교 건축공학과 대학원 졸업(공학박사) ,(전) 부경대학교 건축학과 겸임교수,60.23
4,새누리당,부산광역시,기장군제1선거구,박인대,정당인,57,19570520,부경대학교 경영대학원 졸업(경영학석사),(현)부산광역시의회의원 운영위원장,55.85
5,새누리당,부산광역시,기장군제2선거구,김쌍우,정당인,50,19640428,부산대학교 국어국문학과 졸업,(전)부산대학교 총동창회 부회장,59.95
6,새누리당,부산광역시,사하구제1선거구,최영진,자영업,45,19681017,동아대학교 경영대학원 경영학석사 졸업,(현)부산사하구 배드민턴연합회 회장,68.49
7,새누리당,부산광역시,사하구제2선거구,신현무,무직,59,19550410,부산산업대학교(현 경성대학교) 법학과 졸업,(현)한국 근우회 사하지회장,55.75
8,새누리당,부산광역시,사하구제3선거구,김흥남,부산광역시 시의원,63,19510126,동의과학대학교 부동산경영과 졸업,(현)제6대 부산광역시 시의원,56.77
9,새누리당,부산광역시,사하구제4선거구,조정화,부산외국어대학교 초빙교수,49,19641007,동아대학교 대학원 박사과정 수료,(전)부산광역시 사하구청장,53.86
10,새누리당,부산광역시,금정구제1선거구,백종헌,부산광역시의회 의원,51,19621223,부산대학교 환경대학원 도시계획학과 졸업,(현)제6대 부산광역시의회 제1부의장,64.44
11,새누리당,부산광역시,금정구제2선거구,박성명,민주평화통일자문회의 금정구협의회장,58,19560525,동아대학교 경영학과 졸업,(현)금정구 생활체육회 자문위원,54.9
12,새누리당,부산광역시,강서구제1선거구,김진용,정당인,62,19520315,경남공업전문대학 2년 졸업(현: 경남정보대학교),(전)강서구의회 의장,48.49
13,새누리당,부산광역시,강서구제2선거구,윤종현,녹산장학회 이사장,56,19571217,영산대학교 법경대학 행정학과 졸,(현)녹산장학회 이사장,59.89
14,새누리당,부산광역시,연제구제1선거구,안재권,해동하이-텍펌프 대표,54,19600215,부산경상대학 행정과 졸업,(현)새누리당 연제구 당협 부위원장,56.23
15,새누리당,부산광역시,연제구제2선거구,이해동,부산광역시의회의원(부의장),59,19540701,동아대학교대학원 박사과정 수료(국제법무학전공),(현)제6대 부산광역시의회 부의장,58.56
16,새누리당,부산광역시,수영구제1선거구,강성태,부산광역시의원,53,19601225,한양대학교 행정대학원 졸업(행정학석사),(현)부산광역시의원(수영구제1선거구),60.26
17,새누리당,부산광역시,수영구제2선거구,전봉민,부산광역시의원,41,19721021,동의대학교 대학원 박사과정 수료,(현)부산광역시의회 보사환경위원장,65.05
18,새누리당,부산광역시,사상구제1선거구,이상갑,정당인,58,19560227,동아대학교 국제전문대학원 졸업(국제학석사),(현)부산광역시의회의원,58.67
19,새누리당,부산광역시,사상구제2선거구,오보근,정당인,59,19541212,동아대학교 경영대학원 수료,(현)부산광역시의회의원,53.5
20,새누리당,경상남도,통영시제1선거구,김윤근,경상남도의회의원,54,19591015,경상대학교 경영대학원졸업(경영학석사),(현)경상남도의회의원,50.57
21,새누리당,경상남도,통영시제2선거구,천영기,정당인,52,19620325,서울시립대학교 도시과학대학원 건축공학과 졸업,(전)제6대 통영시의회의원,53.6
22,무소속,경상남도,고성군제1선거구,제정훈,무직,69,19440920,동국대학교 경영학과 졸업,(전)전국대학생 총연합회 부회장,48.83
23,새누리당,경상남도,고성군제2선거구,황대열,법무사 황대열사무소 대표,64,19490618,동광초등학교 졸업,(전)제6대 고성군의회의원(하반기의장),0
