,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,더불어민주당,서울특별시,용산구나선거구,이상순,용산구의회의원,57,19600905,연세대학교 행정대학원 졸업(사회복지학석사),(현)용산구의회 제7대의원,45.12
1,자유한국당,서울특별시,용산구나선거구,오천진,스마트도시융합정책연구소장,56,19611213,한양대학교 도시대학원 졸업(도시공학박사),(전)제6대 용산구의회의원,26.38
2,더불어민주당,서울특별시,용산구다선거구,김철식,용산구의회의원,58,19590725,광운대학교 대학원 졸업 (법학박사),(현) 용산구의회의원,45.7
3,자유한국당,서울특별시,용산구다선거구,고진숙,용산구의회의원,56,19610705,한양대학교 대학원 관광학과 박사과정 수료,(전)한양대학교 강사,38.36
4,더불어민주당,서울특별시,용산구라선거구,장정호,용산구의회 의원,54,19630927,단국대학교 행정법무대학원 졸업 (행정학석사),"(전)용산구의회 4,6대 의원",58.62
5,자유한국당,서울특별시,용산구라선거구,최병산,임대업,52,19660519,대전공업전문대학 기계학과 (현 한밭대학교) 졸업,(현) 후암동 성당 사목위원회 청소년 분과 위원장,25.35
6,더불어민주당,서울특별시,용산구마선거구,윤성국,용산구의회의원,63,19550122,중앙대학교 연극영화학과 졸업,(현) 용산구의회의원,25.48
7,자유한국당,서울특별시,용산구마선거구,김정준,용산구의회 의원,57,19610325,중원대학교 사회문화대학원 행정학과 석사과정 재학중, (현) 용산구의회 의원,22.14
8,정의당,서울특별시,용산구마선거구,설혜영,정당인,39,19780714,서울시립대학교 도시과학대학원 졸업(도시행정학 석사),(전) 6대 용산구의원,15.97
9,더불어민주당,서울특별시,성동구가선거구,황선화,정당인,38,19791119,학점인정 등에 관한 법률에 따른 국가평생교육진흥원  음악학사 학위취득,(전) 제19대 대통령선거 문재인후보 중앙선거대책위 지역정치발전특별위 위원장,34.32
10,더불어민주당,서울특별시,성동구가선거구,양옥희,더제이컴퍼니 대표,59,19580819,목포과학대학교 복지학부 사회복지전공학과 졸업,(현) 중구성동구을 여성위원장,18.72
11,자유한국당,서울특별시,성동구가선거구,은복실,성동구의회의원,64,19540427,서울디지털대학교 행정학과 졸업,(전) 제5대 성동구의회 운영위원장,16.16
12,더불어민주당,서울특별시,성동구나선거구,이성수,성동구의회의원,62,19550819,학점인정 등에 관한 법률에 따른 국가평생교육진흥원 행정전문학사 학위취득,(전) 제7대 전반기 성동구의회 복지건설위원장,39.11
13,더불어민주당,서울특별시,성동구나선거구,김현주,정당인,50,19670927,일본 미야기교육대학교 대학원 일본어교육학 석사학위 취득(1999.4 ~ 2001.3),(전) 6대 성동구의회의원,31.87
14,자유한국당,서울특별시,성동구나선거구,신동욱,성동구의회의원,62,19551014,동국대학교 무역학과 졸업,(전) 자유한국당 중·성동(갑) 사무국장,24.68
15,더불어민주당,서울특별시,성동구다선거구,남연희,성동구의회의원,63,19550408,한양대학교 공공정책대학원 지방자치학과 석사3기 재학중,(현) 7대 성동구의회의원 후반기 복지건설위원장,40.69
16,더불어민주당,서울특별시,성동구다선거구,김종곤,성동구의회의원,53,19641215,학점인정등에 관한 법률에 따른 건국대학교 문학사 학위 취득,(전) 제6대 성동구의회의원 후반기 복지건설위원장,28.29
17,자유한국당,서울특별시,성동구다선거구,이상철,성동구의회의원,69,19481003,미기재,(현) 제7대 성동구의회의원,21.47
18,더불어민주당,서울특별시,성동구라선거구,민운기,전산네트워크엔지니어,46,19710720,경희사이버대학교 사회복지학부 제적(2017.9.1.~2018.3.30.),(전) 마장초등학교 아버지회 회장,44.46
19,더불어민주당,서울특별시,성동구라선거구,오천수,정당인,62,19551023,미기재,(전) 더불어민주당 중구성동구갑 사무국장,22.7
20,자유한국당,서울특별시,성동구라선거구,박영희,정당인,63,19540820,학점인정등에 관한 법률에 따른 삼육보건대학교 사회복지학사학위 취득,(전) 사)한국여성유권자연합 성동지부 회장,21.01
21,더불어민주당,서울특별시,광진구가선거구,김회근,국회의원 전혜숙 비서관,39,19780628,성균관대학교 법학과 졸업,(현)더불어민주당 광진갑지역위원회 사무국장,38.37
22,더불어민주당,서울특별시,광진구가선거구,추윤구,정당인,76,19420605,광주농업고등학교(현 광주자연과학고등학교)졸업,(전)광진구의회4선의원(제3대후반기의장),26.29
23,자유한국당,서울특별시,광진구가선거구,안문환,광진구의회의원,59,19580921,세종대학교 정책과학대학원 행정학과 졸업 (행정학석사),(전) 제 6대 광진구의회의원(후반기 운영위원장),15.53
24,더불어민주당,서울특별시,광진구나선거구,이명옥,공인중개사,55,19630422,숭의여자전문대학 관광경영과 졸업,(현)더불어민주당 광진갑지역위원회 여성위원장,40.83
25,더불어민주당,서울특별시,광진구나선거구,고양석,다원건축 대표,66,19520524,서일대학교 사회복지과 졸업,(현)광진구의회 7대부의장,24.99
26,자유한국당,서울특별시,광진구나선거구,이경호,정당인,50,19680518,고려대학교 산업정보대학원(공학대학원) 전기공학석사 졸업,(전)한국전기통신공사 서울전화건설국 공사감독관,21.86
27,더불어민주당,서울특별시,광진구다선거구,김미영,정당인,42,19760520,건국대학교 일반대학원 교육학과 박사과정 수료,(현)더불어민주당 서울시당 청년위원회 부위원장,41.39
28,더불어민주당,서울특별시,광진구다선거구,박삼례,정당인,63,19550211,건국대학교 행정대학원 도시및지역계획과 졸업(도시계획학 석사),(현)광진구의회의원(제7대 전반기의장),23.92
29,자유한국당,서울특별시,광진구다선거구,문경숙,정당인,59,19581011,서산여자고등학교 졸업,(전)새누리당 광진(을) 여성부장,12.94
30,더불어민주당,서울특별시,광진구라선거구,장길천,정당인,55,19630424,부산선원학교(현 부산해사고등학교) 기관과 졸업,(현)더불어민주당 광진(을)협의회장단 회장 겸 자양3동 협의회장,35.09
31,더불어민주당,서울특별시,광진구라선거구,박순복,회사원,50,19671127,열린사이버대학교 사회복지학과 졸업,(현)자양3동 새마을부녀회 총무,20.02
32,자유한국당,서울특별시,광진구라선거구,전은혜,으뜸어린이집 원장,57,19610102,건국대학교 교육대학원 교육학과 초등교육전공 졸업(교육학석사),(전)광진구 민간가정어린이집 연합회 회장,21.51
33,더불어민주당,서울특별시,동대문구가선거구,김남길,동대문구 의회의원,56,19620329,한국방송통신대학교 행정학과 재학중,(현)동대문구 구의회의원(후반기부의장),44.35
34,자유한국당,서울특별시,동대문구가선거구,이순영,동대문구의회의원,65,19520903,부산대학교 의과대학 부속 간호학교 졸업,(현)자유한국당 동대문(갑) 당원협의회 운영위원,24.29
35,더불어민주당,서울특별시,동대문구나선거구,이영남,동대문구의원,53,19640912,"한국방송통신대학교 중어중문학과, 행정학과 졸업",(현)동대문구의회의원,37.42
36,자유한국당,서울특별시,동대문구나선거구,임현숙,동대문구의회의원,60,19580113,동덕여자대학 국사교육과 졸업 (현.동덕여자대학교),(현)자유한국당 동대문(갑) 당원협의회 사무국장,22.9
37,더불어민주당,서울특별시,동대문구다선거구,이강숙,자산관리사,58,19591104,진형고등학교 재학,(전)문재인 대통령후보 동대문(갑) 연설팀장,58.34
