,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,한나라당,경상남도,의령군선거구,서진식,법무사,52,19570904,의령종합고등학교 졸업(현. 의령고등학교),(현)서진식법무사 사무소운영,40.46
1,한나라당,경상남도,함안군제1선거구,조근제,경상남도의회의원,57,19530523,진주산업대학교 동물소재학과 졸업,경상남도의회의원,47.77
2,한나라당,경상남도,함안군제2선거구,이성용,정당인,45,19650208,창원대학교 대학원 행정학과(석사)재학,조진래 국회의원 보좌관(전),44.34
3,한나라당,경상남도,창녕군제1선거구,김부영,농업,44,19660407,부산대학교 법과대학 법학과 졸업,(현)한나라당 중앙위원회 상임위원,51.93
4,한나라당,경상남도,창녕군제2선거구,권유관,정당인,52,19570611,동아대학교 경영대학원 석사 졸업,창녕군의회 의원,38.21
5,한나라당,경상남도,양산시제1선거구,홍순경,(주)한솔가스기공 운영 대표이사,40,19700122,울산대학교 정책대학원 졸업,(전)양산청년회의소(JC) 회장,51.39
6,한나라당,경상남도,양산시제2선거구,정재환,정당인(기초의원),57,19521214,양산대학 졸업,양산시 교육발전협의회장 역임,51.37
7,한나라당,경상남도,양산시제3선거구,성계관,경영인,53,19560905,부산대학교 환경대학원 졸업(전공:도시계획학과),(현)경상남도의회의원,43.38
8,한나라당,경상남도,하동군선거구,황종원,자영업(대경산업 대표),44,19660520,대구대학교 식품공학과 졸업,민주평화통일자문회의 하동군협의회장,41.66
9,한나라당,경상남도,남해군선거구,이재열,정당인,62,19480117,경남도립남해전문대학 중국e-비즈니스(산)학과 졸업,남해초등학교총동창회장,46.5
10,무소속,경상남도,함양군선거구,서춘수,무직,59,19501204,경남대학교 행정대학원 졸업(행정학석사),(전)경상남도 농수산국장,47.92
11,한나라당,경상남도,산청군선거구,허기도,경상남도의회의원,56,19530722,경상대학교 교육대학원 교육학과 졸업(교육학석사),(현)경상남도의회 부의장,64.74
12,한나라당,경상남도,거창군제1선거구,백신종,경상남도의회의원,57,19520622,계명대학교 행정대학원 석사과정 수료,"제7,8대 경상남도의회 의원(현)",36.02
13,한나라당,경상남도,거창군제2선거구,신주범,정당인,44,19650829,건국대학교 일반대학원 행정학과 박사과정 졸업(행정학 박사),"거창군의회 제4대,제5대의원",57.3
14,한나라당,경상남도,합천군선거구,문준희,정당인,50,19591010,경남대 행정대학원 정치외교학과 재학중,새마을운동합천군지회장(전),0
15,한나라당,제주특별자치도,제주특별자치도제1선거구,신관홍,제주특별자치도의회의원,60,19490821,탐라대학교 경영학 석사 졸업,(전)제7대 제주시의회의원,0
16,민주당,제주특별자치도,제주특별자치도제2선거구,오영훈,정당인,41,19681214,제주대학교 경영대학원(석사) 경영학과 졸업,(전)국회의원 보좌관,59.43
17,민주당,제주특별자치도,제주특별자치도제3선거구,김희현,관광서비스업,50,19590924,제주대학교 경영대학원 관광개발학과 재학,(전)제주관광협회 상근부회장,36.59
