,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,미래통합당,부산광역시,남구제2선거구,김광명,정당인,53,19661227,부경대학교 국제대학원 졸업(정치학석사),(전)남구의회 의원,55.23
1,미래통합당,대구광역시,동구제3선거구,윤기배,기업인,37,19830131,경동정보대학 병원의료정보과 졸업(현 호산대학교),(현)팔공산미나리 능성영농조합 대표,63.06
2,미래통합당,대구광역시,동구제4선거구,안경은,주식회사 신우콘크리트 대표,66,19531019,경일대학교 부동산지적학과 졸업,(전)대구동구의회 3대 전반기 의장(3선),61.59
3,더불어민주당,대전광역시,서구제6선거구,박수빈,박범계국회의원 4급 보좌관,37,19820425,한남대학교 미디어영상학과 졸업,(현)더불어민주당 정책위부의장,55.94
4,더불어민주당,세종특별자치시,세종특별자치시제9선거구,이순열,정당인,50,19700206,경북대학교 법과대학 행정학과 졸업,(현)더불어민주당 세종시당 숨쉬는세종위원회 위원장,66.24
5,미래통합당,경기도,성남시제7선거구,이제영,정당인,60,19600120,경원대학교 사회정책대학원 졸업(행정학 석사),(전) 제7대 성남시의회의원,49.53
6,더불어민주당,충청북도,청주시제10선거구,임동현,사단법인 징검다리 대표,52,19671209,한국교통대학교 대학원 졸업(사회복지학 석사),(전)청주시 내덕노인복지관 관장,47.08
7,미래통합당,충청북도,보은군선거구,박재완,보은요양병원 이사장,67,19520813,청주공업고등학교 졸업,(전)보은문화원장,40.65
8,미래통합당,충청북도,영동군제1선거구,김국기,정당인,49,19701229,충북대학교 철학과 졸업,(전)충청일보 편집국 국장,50.45
9,더불어민주당,충청남도,천안시제5선거구,윤철상,자동차 영업사원,45,19740422,백석문화대학교 경영과 졸업,(현)더불어민주당 정책위원회 부의장,50.28
10,미래통합당,경상북도,포항시제6선거구,이동업,주식회사 태림 부사장,56,19631020,경북대학교 정책정보대학원 졸업(정책정보학 석사),(전)연일읍 개발자문위원회 위원장,65.34
11,미래통합당,경상북도,안동시제2선거구,권광택,정당인,52,19680110,안동대학교 행정경영대학원 경영학 석사,(전)안동시의회 부의장,66.02
12,미래통합당,경상북도,구미시제6선거구,정근수,정당인,60,19591215,가야대학교 교육대학원 유아교육학과 졸업(교육학석사),(전)구미시의회의원,69.53
13,미래통합당,경상남도,진주시제3선거구,유계현,문화메탈주식회사 이사,62,19580218,중앙대학교 사회개발대학원 지역사회개발학과 졸업,(전)진주시의회 의장(제4-6대 진주시 의원),58.62
14,더불어민주당,제주특별자치도,제주특별자치도 서귀포시 동홍동선거구,김대진,정당인,51,19690129,제주대학교 경영대학원 경영학과졸업(경영학 석사),(현) 더불어민주당 정책위원회 부의장,56.76
15,더불어민주당,제주특별자치도,제주특별자치도 서귀포시 대천동·중문동·예래동선거구,임정은,자영업,46,19730518,탐라대학교 호텔경영학과 졸업,(전) (사)중문청년회의소 회장,51.47
16,무소속,제주특별자치도,제주특별자치도 서귀포시 대정읍선거구,양병우,무직,61,19580520,탐라대학교 토목환경공학과 졸업,(전)대정읍장,50.17
