,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,미래통합당,부산광역시,중구,최진봉,부동산 임대업,65,19550118,동의대학교 대학원 정치외교학과 박사과정 수료,(전)부산시 중구의회 의장,48.14
1,더불어민주당,경기도,안성시,김보라,정당인,50,19690908,연세대학교 간호학과 졸업,(전) 제9대 경기도의원,46.31
2,더불어민주당,강원도,고성군,함명준,정당인,60,19600316,울산공과대학 병설 공업전문대학 조선과 졸업 ,"(전) 고성군의회 6대, 7대 의원",48.66
3,더불어민주당,강원도,횡성군,장신상,정당인,63,19560515,상지대학교 대학원 행정학과 (석사과정)수료,(전)지방공무원 38년 근무,52.28
4,미래통합당,충청남도,천안시,박상돈,정당인,70,19490903,서울대학교 행정대학원 졸업(행정학석사),"(전)제17, 18대 국회의원",46.38
5,더불어민주당,전라북도,진안군,전춘성,무직,59,19610412,군산전문학교(현 서해대학) 관광과  졸업,(전)진안군 행정복지국장,51.3
6,더불어민주당,전라남도,함평군,이상익,정당인,63,19560707,초당대학교 사회복지학과 졸업,(현)더불어민주당 함평빛그린산단조성특별위원회 위원장,52.97
7,미래통합당,경상북도,상주시,강영석,정당인 ,54,19660311,국민대학교 정치대학원 선거공학과 졸업,(전)경북도의원 (2선),72.77
