,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,새누리당,전국,비례대표,이만우,고려대 경제학과 교수,61,19500825,"미국 미네소타대 대학원 경제학과졸업(박사), (1978. 9 ~1983. 6)",(현)세제발전심의위원회 부위원장,0
1,민주통합당,전국,비례대표,김광진,정당인,30,19810428,순천대학교 대학원 석사과정 수료,(현)민주통합당 청년비례대표,0
2,새누리당,전국,비례대표,박근혜,국회의원,60,19520202,서강대학교 전자공학과졸업,"15,16,17,18대 국회의원",0
3,민주통합당,전국,비례대표,한정애,안전보건공단 연구위원,47,19650108,영국노팅험대 산업공학박사(3년6월),(전)안전보건공단 노조위원장,0
4,민주통합당,전국,비례대표,김기준,노동운동가,54,19570704,서울대학교 무역학과 졸업,(전)금융노조 위원장,0
5,새누리당,전국,비례대표,안종범,성균관대학교 경제학과 교수,52,19590715,"미국 위스콘신대학교 대학원 경제학과졸업(박사),(1985.8~1991.5)",(현)성균관대학교 경제학과 교수,0
6,민주통합당,전국,비례대표,장하나,정당인,34,19770619,"연세대학교 인문학부(사회,철학복수전공)졸업",(전)민주당 제주도당 대변인,0
7,새누리당,전국,비례대표,김현숙,숭실대 경제학과 부교수,45,19660510,미국 일리노이주립대 경제학졸업(경제학박사)(1997.08~2003.05),(전)한국조세연구원 연구위원,0
8,새누리당,전국,비례대표,김장실,정당인,56,19560315,미국 하와이대 대학원 정치학졸업(박사)(1989~1992),(전)문화체육관광부 제1차관,0
9,민주통합당,전국,비례대표,김기식,민주통합당 전략기획위원장,46,19660306,서울대학교 인류학과 졸업,(전)참여연대 사무처장,0
10,새누리당,전국,비례대표,민병주,한국원자력연구원 연구위원,53,19590226,"일본 큐슈대대학원 핵물리학과졸업(이학박사), (1986.4~1991.3)",(전)대한여성과학기술인회 회장,0
11,통합진보당,전국,비례대표,윤금순,통합진보당 농민위원장,52,19591001,서울시립대학교 위생공학과졸업,(전)전국여성농민회총연합회장,0
12,민주통합당,전국,비례대표,전순옥,(주)참신나는옷 대표이사,58,19530505,영국워릭대학교 사회학박사(1997.1.~2002.7.),(현)(사)참여성노동복지터 대표,0
13,자유선진당,전국,비례대표,문정림,당 대변인,50,19611222,카톨릭대학교 대학원 졸업(의학박사),(전)카톨릭의대 재활의학과 교수,0
14,새누리당,전국,비례대표,김정록,(사)한국지체장애인협회 중앙회장,60,19510622,전주비전대학교 경영정보과졸업,(현)(주)씨피엘 대표이사,0
15,통합진보당,전국,비례대표,이석기,(주)사회동향연구소 대표,50,19620202,한국외국어대학교 중국어통번역학과졸업,(현)(주)사회동향연구소 대표,0
16,민주통합당,전국,비례대표,최동익,실로암시각장애인복지관장,50,19620408,미시간대학 사회복지학 석사(1988.9~1989.8.),(현)한국장애인단체총연맹 대표,0
17,자유선진당,전국,비례대표,김영주,당 부산시당 위원장,57,19540826,동의대학교 행정학과졸업,(전)대한건설기계협회 부산광역시지회 3·4대 회장,0
18,새누리당,전국,비례대표,윤명희,(주)농업회사법인 한국라이스텍 대표이사,55,19560826,경희사이버대학교 외식농수산경영학과졸업,(현)한국농수식품CEO연합회 부회장,0
19,민주통합당,전국,비례대표,은수미,노동정책연구자,48,19631206,서울대학교 사회학 박사,(전)KLI 부연구위원,0
20,통합진보당,전국,비례대표,김재연,정당인,31,19801030,한국외국어대학교 러시아어학과졸업,(전)한국외국어대학교 총학생회장,0
21,새누리당,전국,비례대표,조명철,정당인,53,19590402,"김일성종합대학졸업(박사),(1983.9~1987.10)",(전)대외경제정책연구원 국제개발협력센터 소장,0
22,통합진보당,전국,비례대표,정진후,정당인,54,19571106,중앙대학교 문예창작학과졸업,(전)수원제일중학교 교사,0
23,민주통합당,전국,비례대표,홍종학,가천대학교 교수,52,19590512,캘리포니아대 경제학 박사(4년9월),(전)경실련 재벌개혁위원장,0
