,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,자유선진당,충청남도,공주시연기군,심대평,국회의원,67,19410407,서울대학교 경제학과 졸,전 충남도지사,63.32
1,자유선진당,충청남도,보령시서천군,류근찬,국회의원,59,19490227,서울대학교 사범대학 졸업,전)KBS 9시뉴스 앵커 및 KBS 보도본부장,52.15
2,자유선진당,충청남도,아산시,이명수,나사렛대학교 부총장,53,19550211,성균관대학교 대학원졸업(행정학 박사),(전)충청남도 행정부지사,53.09
3,자유선진당,충청남도,서산시태안군,변웅전,정당인,67,19401015,중앙대학교 문리과대학 심리학과 졸업,(전)제15대 국회의원,51.65
4,무소속,충청남도,논산시계룡시금산군,이인제,국회의원,59,19481211,서울대학교 법과대학 행정학과 졸업,(현)국회의원(4선),27.67
5,자유선진당,충청남도,부여군청양군,이진삼,정당인,71,19370210,동국대학교 행정대학원 졸업(행정학 석사),육군참모총장,55.38
6,자유선진당,충청남도,홍성군예산군,이회창,정당인,72,19350602,서울대학교 법과대학 졸업,(전)국무총리,60.91
7,자유선진당,충청남도,당진군,김낙성,국회의원,65,19421206,단국대학교 대학원 졸업(행정학 박사),(전)당진군수 민선1.2.3기,58.26
8,무소속,전라북도,전주시완산구갑,이무영,정치인,63,19441205,동국대학교 행정대학원 졸업(행정학 석사),제54대 경찰청장,53.09
9,통합민주당,전라북도,전주시완산구을,장세환,정당인,55,19530114,전북대학교 법학과 졸업,한겨레신문 정치부장 대우,65.3
10,통합민주당,전라북도,전주시덕진구,김세웅,정당인,54,19530814,한양대학교 행정대학원 졸업,(전)무주군수 3선,49.12
11,통합민주당,전라북도,군산시,강봉균,국회의원,64,19430813,한양대학교 대학원 경제학과 졸업(경제학 박사),(전)정보통신부 장관,52.79
12,통합민주당,전라북도,익산시갑,이춘석,변호사,45,19630307,원광대학교 법학대학원 박사과정 수료,현)변호사,57.34
13,통합민주당,전라북도,익산시을,조배숙,국회의원,51,19560910,서울대학교 법학대학원 졸업,전)서울지방검찰청 검사,54.91
14,무소속,전라북도,정읍시,유성엽,정치인,48,19600125,서울대학교 외교학과 졸업,전라북도 경제통상국장,61.04
15,통합민주당,전라북도,남원시순창군,이강래,국회의원,55,19530302,서울대학교 행정대학원졸업(행정학박사),"제16,17대 국회의원",52.93
16,통합민주당,전라북도,김제시완주군,최규성,국회의원,58,19500204,서울대학교 법과대학 법학과 졸업,(현)김제.완주 국회의원,53.69
17,통합민주당,전라북도,진안군무주군장수군임실군,정세균,국회의원,57,19500926,고려대학교 법과대학 법학과 졸업(법학사),(전)열린우리당 당의장,74
18,통합민주당,전라북도,고창군부안군,김춘진,국회의원,55,19530124,경희대학교 대학원 치의학 박사,국회 보건복지위원회 위원,77.42
19,무소속,전라남도,목포시,박지원,김대중평화센터 이사장 비서실장,65,19420605,단국대학교 상학과졸업,(전)대통령비서실장,53.59
20,통합민주당,전라남도,여수시갑,김성곤,국회의원,55,19521106,미국 템플대학교 대학원졸업(철학박사),국립중앙청소년수련원장,81.18
21,통합민주당,전라남도,여수시을,주승용,국회의원,55,19520727,고려대학교 경영대학원 졸업(경영학석사),민선 초대 통합여수시장,83.87
22,통합민주당,전라남도,순천시,서갑원,국회의원,45,19620624,국민대학교 법학과대학원 박사 수료,(현)제17대 국회의원,77.46
23,통합민주당,전라남도,나주시화순군,최인기,국회의원,64,19440318,서울대학교 법과대학 행정학과 졸업,전라남도지사,74.15
24,통합민주당,전라남도,광양시,우윤근,국회의원,50,19570924,국립 전남대학교 대학원 법학과 졸업(법학박사),변호사,59.45
25,통합민주당,전라남도,담양군곡성군구례군,김효석,국회의원,58,19490715,(미)조지아대학교 대학원 경영학 박사,제16ㆍ17대 국회의원,76.82
26,통합민주당,전라남도,고흥군보성군,박상천,변호사,69,19381031,서울대학교 법과대학 법학과 졸업,현 통합민주당 공동대표,56.04
27,통합민주당,전라남도,장흥군강진군영암군,유선호,국회의원,54,19530927,서울대학교 법과대학원 졸업,제15. 17대 국회의원,67.66
28,무소속,전라남도,해남군완도군진도군,김영록,정치인,53,19550217,"미국 시라큐스대 맥스웰대학원 행정학과 졸업(석사, 수학기간2년)",(전) 완도군수,50.5
29,무소속,전라남도,무안군신안군,이윤석,대학교 강사,48,19600316,경남대학교 대학원 정치외교학과 졸업,"제5,6,7대 전라남도의회의원",30.89
30,통합민주당,전라남도,함평군영광군장성군,이낙연,국회의원,55,19521220,서울대학교 법과대학 법학과 졸업,(현)국회의원,67.94
31,한나라당,경상북도,포항시북구,이병석,국회의원,55,19521028,고려대학교 대학원 졸업(정치학박사),(전)대통령정무비서관(1급),62.64
32,한나라당,경상북도,포항시남구울릉군,이상득,국회의원,72,19351129,서울대학교 상과대학 경제학과 졸업,(전)주식회사코오롱사장,69.63
33,친박연대,경상북도,경주시,김일윤,육영사업,69,19381217,중앙대학교 대학원 경영학과(경영학박사) 졸업,(전)경주대학교 총장,47.22
34,한나라당,경상북도,김천시,이철우,정당인,52,19550815,연세대학교 행정대학원 졸업,경상북도 정무부지사,53.37
35,무소속,경상북도,안동시,김광림,교수,59,19480428,경희대학교 대학원 졸업 (행정학 박사),(전) 재정경제부차관,49.68
36,한나라당,경상북도,구미시갑,김성조,국회의원,49,19581115,경북대학교 행정대학원 일반행정전공 졸업(행정학석사),(현)제17대 국회의원,73.69
37,무소속,경상북도,구미시을,김태환,국회의원,64,19430924,연세대학교 정치외교학과 졸업,(전)금호피엔비화학 대표이사 사장,60.54
38,한나라당,경상북도,영주시,장윤석,제17대 국회의원,58,19500105,서울대학교 법과대학 졸업,법무부 검찰국장(검사장),52.47
39,한나라당,경상북도,영천시,정희수,국회의원,54,19531025,미국 일리노이대학교 대학원 경제학과 졸업(경제학 박사),(현) 제17대 국회의원 (건설교통위원회 위원),81.99
40,무소속,경상북도,상주시,성윤환,변호사,51,19560829,한양대학교 법정대학 법학과 졸업,(전)서울북부지검 부장검사,51.92
41,한나라당,경상북도,문경시예천군,이한성,정당인,51,19570405,서울대학교 법과대학원 졸업(법학박사),대구지방검찰청 상주지청장,48.46
42,한나라당,경상북도,경산시청도군,최경환,17대 국회의원,53,19550227,미국 위스콘신대 경제학과 대학원(박사과정) 졸업,(현)제17대 국회의원,78.47
43,무소속,경상북도,고령군성주군칠곡군,이인기,국회의원,55,19530226,서울대학교 법과대학 법학과 졸업,제16대ㆍ제17대 국회의원,49.37
44,무소속,경상북도,군위군의성군청송군,정해걸,무직,68,19390509,대구대학교사회복지개발대학원졸업(행정학석사),"(전)민선1,2,3기의성군수",49.36
45,한나라당,경상북도,영양군영덕군봉화군울진군,강석호,정치인,52,19551203,한국외국어대학교 서양어대학 스페인어과 졸업,한나라당경상북도당상임부위원장,50.41
46,한나라당,경상남도,창원시갑,권경석,제17대 국회의원,62,19460102,동아대 대학원 졸업(행정학박사),(전)한나라당 경남도당위원장,49.89
47,민주노동당,경상남도,창원시을,권영길,국회의원,66,19411105,서울대학교 농과대학 잠사학과 졸업,(전)민주노동당 초대 당대표,48.2
48,한나라당,경상남도,마산시갑,이주영,변호사,56,19510930,서울법대 법학과 졸업,제16.17대 국회의원,71.96
49,한나라당,경상남도,마산시을,안홍준,국회의원,57,19510302,경상대학교 대학원 의학과 졸업(의학박사),국회 환경노동위원회 간사,64.14
50,무소속,경상남도,진주시갑,최구식,국회의원,47,19601011,서울대학교 사회과학대학 외교학과(정치학사),(전)조선일보 정치부 차장,44.65
51,한나라당,경상남도,진주시을,김재경,국회의원,46,19611010,경상대학교 법학과 졸업,국회의원,58.71
52,한나라당,경상남도,진해시,김학송,제17대 국회의원,55,19520706,건국대학교 정치외교학과 졸업,"제16, 17대 국회의원",62.21
53,한나라당,경상남도,통영시고성군,이군현,제17대 국회의원,56,19520312,캔자스주립대학교 교육행정학과졸업,(전)한국교원단체총연합회회장,56.47
54,민주노동당,경상남도,사천시,강기갑,국회의원,54,19530607,사천농업고등학교(현 경남자영고)졸업,현)국회 농림해양수산위원회 위원,47.69
55,한나라당,경상남도,김해시갑,김정권,국회의원,48,19600112,인제대학교 경영대학원 졸업(경영학석사),(현) 제17대 국회의원,50.85
56,통합민주당,경상남도,김해시을,최철국,국회의원,55,19521230,서울대학교 법학과 졸업,(전)청와대 의전행정관,47.76
57,한나라당,경상남도,밀양시창녕군,조해진,정당인,44,19630804,서울대학교 대학원 법학과 졸업(법학석사),이명박 서울시장 비서관,46.34
58,한나라당,경상남도,거제시,윤영,정치인,53,19550403,영국버밍엄대학교 국제정치대학원졸업(국제정치학석사),(전)거제시부시장,38.63
59,한나라당,경상남도,의령군함안군합천군,조진래,변호사,42,19651120,연세대 법학과 졸업,2007선진국민경남연대 상임대표,49.48
60,한나라당,경상남도,양산시,허범도,정당인,58,19500218,부산대학교 상과대학 경영학과 졸업,부산지방중소기업청장,39
61,한나라당,경상남도,남해군하동군,여상규,변호사,59,19480915,서울대학교 법학과 졸업,(전)서울지방법원 판사,56.74
62,한나라당,경상남도,산청군함양군거창군,신성범,정당인,44,19630601,서울대학교 인류학과 졸업,KBS보도본부정치부기자,55.06
63,통합민주당,제주특별자치도,제주시갑,강창일,국회의원,56,19520128,"동경대학 대학원 졸업(동양사학전공, 문학박사,수학기간:87.4.1~94.3.31)",(전)배재대학교 일본학과교수,39.29
64,통합민주당,제주특별자치도,제주시을,김우남,국회의원,52,19550523,경희대학교 대학원 경영학과 수료,(현)국회의원,43.11
65,통합민주당,제주특별자치도,서귀포시,김재윤,국회의원,42,19650524,명지대학교 대학원 국어국문학과 졸업(문학박사),(현)제17대 국회의원,43.53
66,친박연대,대구광역시,달서구갑,박종근,국회의원,71,19370205,미국 워싱턴주립대학원 경제학석사,"제 15, 16 ,17대 국회의원",49.8
67,무소속,대구광역시,달서구을,이해봉,국회의원,65,19420615,서울대학교 법과대학 졸업,대구시장,57.21
68,친박연대,대구광역시,달서구병,조원진,정당인,49,19590107,영남대학교 행정대학원 석사,세계한인무역협회 북경회장,49.24
69,한나라당,대구광역시,달성군,박근혜,국회의원,56,19520202,서강대 전자공학과 졸업,(前)한나라당 대표최고위원,88.58
70,한나라당,인천광역시,중구동구옹진군,박상은,한국학술연구원 이사장,58,19490901,연세대학교 법과 대학원(법학석사) 졸업,대한제당 대표이사 사장,47.25
71,한나라당,인천광역시,남구갑,홍일표,법무법인 서해 대표 변호사,52,19560211,건국대학교 일반대학원 졸업(법학석사),판사(14년),53.59
72,한나라당,인천광역시,남구을,윤상현,인하대 특별연구위원,45,19621201,미. 조지워싱턴대 정치학 박사,전. 서울대학교 초빙교수,58.06
73,한나라당,인천광역시,연수구,황우여,국회의원,60,19470803,서울대학교 법학과(박사과정) 졸업,국회 교육위원회 위원장(전),59.03
74,한나라당,인천광역시,남동구갑,이윤성,국회의원,63,19441002,한국외국어대학교 졸업,국회산업자원위원회위원장,57.81
