,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,새누리당,대구광역시,달서구,이태훈,정당인,59,19561020,영남대학교 대학원 졸업 (행정학 석사),(전) 달서구 부구청장,60.79
1,국민의당,광주광역시,동구,김성환,정당인,54,19611011,"영국 쉐필드대학원 졸업(정치학 박사, 2000. 1. 1. ~ 2008. 4. 9.)",(전)국무총리실 국정과제관리관,52.29
2,더불어민주당,경기도,양주시,이성호,정당인,58,19570716,고려대학교 정책대학원 졸업(행정학석사),(현)국회의원 정성호 정책특보단장,51.91
3,새누리당,경기도,구리시,백경현,정당인,57,19580621,연세대학교 행정대학원 졸업(행정학석사),(전)구리시 행정지원국장,42.89
4,더불어민주당,충청북도,진천군,송기섭,정당인,59,19560818,아주대학교 대학원 건설교통공학과 졸업(공학박사),(전)행정중심복합도시건설청장,53.63
5,국민의당,전라북도,익산시,정헌율,정치인,58,19580325,서울시립대학교 일반대학원 졸업(행정학박사),(전)전라북도 행정부지사,52.1
6,더불어민주당,경상남도,김해시,허성곤,정당인,60,19550709,동아대 대학원 도시조경학과 졸업(도시공학박사),(전)부산진해경제자유구역청장,50.2
7,무소속,경상남도,거창군,양동인,무직,62,19530603,부산대학교 법정대학 행정학과 졸업,(전)제39대 거창군수,45.96
