,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,새정치민주연합,서울특별시,금천구,차성수,금천구청장,57,19570201,고려대학교 대학원 사회학전공 박사과정 졸업,(전)노무현대통령비서실 시민사회수석,58.82
1,새정치민주연합,서울특별시,영등포구,조길형,영등포구청장,57,19570429,호원대학교 법경찰학부 졸업,(현)영등포구청장,54.28
2,새정치민주연합,서울특별시,동작구,이창우,정당인,43,19700723,연세대학교 일반대학원 도시공학과 박사과정 재학중,(전)노무현 대통령 청와대 행정관,52.39
3,새정치민주연합,서울특별시,관악구,유종필,관악구청장,56,19570901,서울대학교 인문대학 철학과 졸업,(전) 국회도서관장[차관급],60.49
4,새누리당,서울특별시,서초구,조은희,(사)미래여성네트워크 운영위원,53,19610520,단국대학교 대학원 행정학과 졸업,(전)서울시 정무부시장,49.86
5,새누리당,서울특별시,강남구,신연희,강남구청장,66,19480108,고려대학교 법과대학 행정학과 졸업(행정학사),(전)서울시복지·여성정책보좌관(1급)역임,61.25
6,새누리당,서울특별시,송파구,박춘희,송파구청장,59,19541015,건국대학교 일반대학원 행정학과 박사과정 수료,(현) 변호사,53.62
7,새정치민주연합,서울특별시,강동구,이해식,강동구청장,50,19631113,서울시립대학교 일반대학원 도시행정학과 도시행정학전공 박사과정 수료,"(전) 서울특별시의회 5대,6대의원(6대환경수자원위원회 위원장)",58.8
8,새누리당,부산광역시,중구,김은숙,공무원,69,19450411,부산대학교 약학과 졸업,(현)부산광역시 중구청장,50.2
9,새누리당,부산광역시,서구,박극제,공무원,62,19510727,동아대학교 대학원 정치학과 박사과정 수료,(현)부산광역시 서구청장,61.07
10,새누리당,부산광역시,동구,박삼석,정당인,64,19500212,동의대학교 행정대학원 박사,(전)부산광역시 동구의회 의장,42.35
11,새누리당,부산광역시,영도구,어윤태,영도구청장,68,19460516,고려대학교 교육대학원 졸업(교육학 석사),(현)영도구청장,58.24
12,새누리당,부산광역시,부산진구,하계열,정무직 공무원,68,19451102,동아대학교 법학과 졸업,(현) 부산진구청장,61.97
13,새누리당,부산광역시,동래구,전광우,정당인,54,19590925,동아대학교 경영대학원 경영학과(운영관리) 3학기 재학중,(전) 이진복 국회의원 사무국장,46.95
14,새누리당,부산광역시,남구,이종철,부산광역시 남구청장,70,19440323,부산대학교 화학공학과 졸업,(현)부산광역시 남구청장,42.85
15,새누리당,부산광역시,북구,황재관,부산광역시 북구청장,67,19460619,한국방송통신대학교 초등교육과 졸업,(현) 부산광역시 북구청장,55.81
