,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,정의당,경상남도,창원시성산구,여영국,정당인,54,19641226,창원대학교 산업비즈니스학과 졸업,(현)노회찬재단 이사,45.75
1,자유한국당,경상남도,통영시고성군,정점식,변호사,53,19650715,서울대학교 대학원 법학과 졸업(법학석사),(전)대검찰청 공안부장(검사장),59.47
