,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,국민의힘,부산광역시,부산광역시,박형준,정당인,61,19600119,고려대학교 대학원 사회학과 박사과정 졸업(문학박사),(전)17대 국회의원 (부산시 수영구),62.67
1,국민의힘,서울특별시,서울특별시,오세훈,변호사,60,19610104,고려대학교 법학대학원 졸업(법학박사),"(전) 제33, 34대 서울특별시장",57.5
