,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,,서울특별시,서울특별시,조희연,서울특별시교육감,61,19561006,연세대학교 대학원졸업(문학박사),(전)성공회대 통합대학원장,46.58
1,,부산광역시,부산광역시,김석준,부산광역시 교육감,61,19570328,서울대학교 대학원 사회학과 졸업(문학박사),(현)부산시교육감,47.79
2,,대구광역시,대구광역시,강은희,무직,53,19641023,경북대학교 사범대학 물리교육과 졸업,(전)여성가족부 장관,40.73
3,,인천광역시,인천광역시,도성훈,참교육 장학사업회 상임이사,57,19601210,중앙대학교 국어국문학과 졸업,"(전) 11, 12대 전교조 인천지부장",43.77
4,,광주광역시,광주광역시,장휘국,광주광역시교육감,67,19500802,조선대학교 대학원 졸업(문학석사),(현)광주광역시교육감,37.97
5,,대전광역시,대전광역시,설동호,대전광역시교육감,67,19501121,충남대학교 대학원 영어영문학과 졸업(문학박사),(현)대전광역시교육감,52.99
6,,울산광역시,울산광역시,노옥희,더불어숲작은도서관 대표,60,19580515,부산대학교 수학과 졸업,(현)친환경무상급식울산연대 상임공동대표,35.55
7,,세종특별자치시,세종특별자치시,최교진,세종특별자치시교육감,64,19531124,공주사범대학 국어교육과 졸업,(현) 세종특별자치시교육청 교육감,50.07
8,,경기도,경기도,이재정,경기도교육감,74,19440301,토론토대학교 트리니티칼리지 신학박사(1984.9.~1988.5.),(전)노무현정부 통일부장관,40.81
9,,강원도,강원도,민병희,강원도교육감,64,19530628,강원대학교 수학교육과 졸업,(현)강원도교육감,54.12
10,,충청북도,충청북도,김병우,충청북도교육감,60,19570804,충북대학교 대학원 교육행정전공 박사 과정 수료,(현)충청북도교육감,57.13
11,,충청남도,충청남도,김지철,충청남도교육감,66,19511010,단국대학교 교육대학원 교육학과 영어교육 석사과정 수료,(전)제9대 충청남도의회 교육의원,44.07
12,,전라북도,전라북도,김승환,전라북도교육감,64,19531226,고려대학교 대학원 졸업(법학박사),(전)한국헌법학회 회장,40.06
13,,전라남도,전라남도,장석웅,전남교육포럼 혁신과 미래 대표,63,19550323,전남대학교 국사교육과 졸업,(전)전국교직원노동조합 위원장,38.36
14,,경상북도,경상북도,임종식,경북대학교 겸임교수,62,19550820,고려대학교 교육대학원 교육행정전공 졸업,(전)경상북도교육청 교육정책국장,28.2
15,,경상남도,경상남도,박종훈,경상남도교육감,57,19601022,경남대학교 대학원 정치외교학과 졸업(정치학박사),(현) 경상남도교육감,48.39
16,,제주특별자치도,제주특별자치도,이석문,제주특별자치도교육감,59,19590114,제주대학교 사범대학 영어교육과 졸업,(현)제15대 제주특별자치도교육감,51.2
