,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,더불어민주당,서울특별시,서울특별시,박원순,서울특별시장,62,19560326,단국대학교 문리과대학 사학과 졸업,(전) 아름다운재단 상임이사,52.79
1,더불어민주당,부산광역시,부산광역시,오거돈,국립부산대학교 석좌교수,69,19481028,서울대학교 행정대학원 행정학과 졸업(행정학석사),(전)부산광역시 시장 권한대행,55.23
2,자유한국당,대구광역시,대구광역시,권영진,대구광역시장,55,19621210,고려대학교 대학원 정치외교학과 졸업(정치학박사),(전)18대 국회의원,53.73
3,더불어민주당,인천광역시,인천광역시,박남춘,정당인,59,19580702,고려대학교 법과대학 행정학과 졸업,(전) 인천 남동구(갑) 국회의원(재선),57.66
4,더불어민주당,광주광역시,광주광역시,이용섭,정당인,66,19510811,성균관대학교 대학원 경제학과 졸업(경제학 박사),(전)문재인정부 일자리위원회 초대부위원장,84.07
5,더불어민주당,대전광역시,대전광역시,허태정,정당인,52,19650817,충남대학교 문과대학 철학과 졸업,(전)재선 유성구청장(2010~2018),56.41
6,더불어민주당,울산광역시,울산광역시,송철호,변호사,69,19490526,고려대학교 법과대학 행정학과 졸업,(현)대통령직속 국가균형발전위원회 고문,52.88
7,더불어민주당,세종특별자치시,세종특별자치시,이춘희,세종특별자치시장,62,19551206,한양대학교 도시대학원 도시개발경영학과 졸업(도시학박사),(전) 제12대 건설교통부 차관,71.3
8,더불어민주당,경기도,경기도,이재명,정당인,53,19641222,중앙대학교 법학과 졸업,(전)성남시장,56.4
9,더불어민주당,강원도,강원도,최문순,강원도지사,62,19560204,서울대학교 대학원 영어영문학과 졸업(문학석사),(전)제18대 국회의원,64.73
10,더불어민주당,충청북도,충청북도,이시종,충청북도지사,71,19470418,서울대학교 문리과대학 정치학과 졸업,(현)충청북도지사,61.15
11,더불어민주당,충청남도,충청남도,양승조,정치인,59,19590321,단국대학교 정책경영대학원 졸업(법학석사),(전)17·18·19·20대 4선국회의원,62.55
12,더불어민주당,전라북도,전라북도,송하진,정당인,66,19520429,고려대학교 대학원 졸업(행정학 박사),(현)민선6기 전라북도지사,70.57
13,더불어민주당,전라남도,전라남도,김영록,정당인,63,19550217,미국 시라큐스 대학교 맥스웰대학원 졸업 (행정학석사) (1985. 08. ~ 1987. 06. ),(전)문재인정부 초대 농식품부장관,77.08
14,자유한국당,경상북도,경상북도,이철우,정당인,62,19550815,연세대학교 행정대학원 졸업(정치학석사),(전)경상북도 부지사,52.11
15,더불어민주당,경상남도,경상남도,김경수,정당인,50,19671201,서울대학교 인류학과 졸업,(전)제20대 국회의원,52.81
16,무소속,제주특별자치도,제주특별자치도,원희룡,제주특별자치도지사,54,19640214,서울대학교 법과대학 공법학과 졸업,(현)제주특별자치도지사,51.72
