,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,더불어민주당,서울특별시,동대문구아선거구,이재식,정당인,65,19550405,경희대학교 경영대학원 경영학과 졸업(경영학 석사),(현)장안1동 희망복지위원회 감사,59.45
1,더불어민주당,서울특별시,강북구나선거구,이상수,정당인,60,19590519,경민대학교 자치행정과 졸업,(전)경찰공무원 34년근무 경정 퇴직,60.25
2,더불어민주당,서울특별시,도봉구라선거구,이성민,정당인,54,19650508,보성고등학교 졸업,(현)더불어민주당 도봉1동 협의회장,57.13
3,더불어민주당,서울특별시,서대문구마선거구,김양희,자영업,62,19580410,한국방송통신대학교 행정학과 1학년 제적,(전)민주평화통일자문위원회 서대문지회 감사,57.34
4,미래통합당,부산광역시,사하구가선거구,윤보수,자영업,35,19840913,연암공업대학(현 연암공과대학교) 졸업,(현)사하구 외식업 중앙회 운영위원,47.41
5,미래통합당,대구광역시,동구라선거구,김상호,금호엔지니어링 대표,49,19710308,영남대학교 경영대학원 경영학과 석사학위과정 재학,(현)미래통합당 대구시당 부위원장,66.13
6,미래통합당,대구광역시,동구마선거구,류재발,건축업,60,19590616,영진전문대학교 콘텐츠디자인과 휴학,(전)새마을 교통봉사대 대구 동구지대 지대장,62.4
7,미래통합당,대구광역시,동구바선거구,정인숙,정당인,52,19671014,경일대학교 행정학과 졸업,(전)동구의회의원,60.68
8,미래통합당,대구광역시,북구바선거구,김세복,대한장애인 배구협회 대구후원회 회장,58,19611226,김천보건전문대학(현 김천대학교) 졸업,(현)대한장애인 배구협회 대구후원회 회장,66.26
9,미래통합당,대구광역시,북구아선거구,이동욱,(주)대호디엔씨 부사장,51,19681225,경북대학교 정책정보대학원 졸업(정치학 석사),(전)북구의회 부의장,72.29
10,더불어민주당,대전광역시,서구나선거구,김동성,건축 및 부동산 임대업,52,19671015,한남대학교 건축공학과 졸업,(현)더불어민주당 정책위원회 부의장,55.22
11,더불어민주당,대전광역시,서구바선거구,신혜영,중부리서치 대표,53,19660706,충남대학교 사회학과 졸업,(현)중부리서치 대표,57.1
12,더불어민주당,대전광역시,유성구다선거구,송재만,정당인,42,19771110,충남대학교 정치외교학과 졸업,(현)더불어민주당 정책위원회 부의장,57.46
13,미래통합당,울산광역시,남구바선거구,손세익,자영업,48,19710528,울산공업고등학교 졸업,(전)남구 대현동 주민자치위원장,46.06
14,미래통합당,울산광역시,북구가선거구,정치락,정당인,60,19590817,영남대학교 경영학과 졸업,(전)울산광역시의회 의원,41.54
15,더불어민주당,경기도,성남시라선거구,강현숙,정당인,53,19670316,춘성여자고등학교(현 춘천한샘고등학교) 졸업,(전)양지동주민자치위원회 부위원장,72.11
16,더불어민주당,경기도,평택시나선거구,권현미,NGO 활동가,42,19770430,한경대학교 공공정책대학원 졸업(사회사업학 석사),(현)민주평화통일자문회의 평택시협의회 자문위원,51.86
17,더불어민주당,강원도,춘천시사선거구,이교선,정당인,49,19700513,경희호텔경영전문대학(현 경희대학교) 관광경영과 졸업,(현)한국관광공사 비상임 이사,46.53
18,미래통합당,강원도,홍천군가선거구,방정기,농업인,53,19661129,강원대학교 정보과학·행정대학원(부동산학 석사) 졸업,(전)강원도지사 비서실장,50.35
19,미래통합당,충청남도,아산시가선거구,윤원준,정당인,50,19700123,"혜전전문대학(현,혜전대학교) 관광과 졸업",(전)아산비젼 봉사단 단장,50.15
20,미래통합당,충청남도,금산군나선거구,최명수,자영업,62,19580105,한국방송통신대학교 법학과 1학년 제적(1985. 3. ~ 1990. 6.),(전)금산군의회의원(총무위원장),59.55
21,민생당,전라북도,전주시마선거구,채영병,사회복지사(KBA 사랑나눔 운동본부 대표),47,19730307,한일장신대학교 NGO정책대학원 졸업(NGO정책 석사),(현)전라북도 척수장애인협회 후원회장,59.95
22,더불어민주당,전라북도,군산시바선거구,최창호,정당인,47,19720713,전북대학교 대학원 무역학과 박사과정 1학년에 재학중,(현)더불어민주당전북도당 군산중소기업 R&D 지원 특별위원장,41.36
23,더불어민주당,전라북도,군산시바선거구,나종대,영진건축자재백화점 대표,53,19660519,군산대학교 무역학과 졸업,(현)더불어민주당 중앙당 부대변인,36.11
24,더불어민주당,전라남도,여수시나선거구,권석환,행정사(권석환행정사사무소 대표),44,19751025,전남대학교 교육대학원 교육학과 상담심리전공 석사과정 재학 중,(전)여수경찰서 학교전담경찰관,53.09
25,더불어민주당,전라남도,순천시사선거구,오행숙,주부,59,19601105,순천여자고등학교졸업,(전)제6대 순천시의회의원,0
26,더불어민주당,전라남도,함평군가선거구,최종준,농업인,55,19640705,전남과학대학 화훼원예과 졸업,(전)함평군 4-H연합회장,0
27,미래통합당,경상북도,포항시마선거구,안병국,정당인,54,19660403,경주대학교 도시공학과 도시공학전공 대학원졸업(공학석사),(현)포항시 북구 국회의원 김정재 정책특보,75.58
28,미래통합당,경상북도,안동시바선거구,윤종찬,직장인,30,19891229,"영남대학교 역사학과 재학,국제학부 (복수전공)",(전)BM그룹 (주)첨단 교육사업부 과장,38.06
29,미래통합당,경상북도,구미시바선거구,김영길,농업인,54,19660115,동의대학교 화학과 졸업,(전)구미시 이통장협의회 회장,0
30,미래통합당,경상북도,울진군다선거구,신상규,상업,58,19611015,위덕대학교 레저스포츠전공 졸업,(현)울진군 이장연합회 회장,33.41
31,미래통합당,경상남도,의령군나선거구,주민돈,건설업,52,19680315,창신대학 토목과 졸업,(전)새마을지도자 의령군협의회장,51.56
32,미래통합당,경상남도,고성군다선거구,우정욱,원산산업대표,52,19671120,진주농림전문대학(현 경남과학기술대학교) 졸업,(현)미래통합당 경남도당 대변인,61.82
