,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,국민의힘,서울특별시,강북구제1선거구,이종환,향촌숯불구이전문점 대표,64,19561211,청주상업고등학교(현 청주대성고등학교) 졸업,(전)한국외식업중앙회 강북구지회 지회장,50.78
1,더불어민주당,전라남도,고흥군제2선거구,박선준,바다스파랜드 대표,42,19780628,경희호텔경영전문대학 조리과 졸업 (현 경희대학교),(전)녹동청년회의소 회장,53.34
2,국민의힘,경기도,구리시제1선거구,백현종,정당인,55,19651014,한국항공대학교 항공기계공학과 졸업,(전)국민의당 구리시장 후보,54.86
3,국민의힘,경상남도,고성군제1선거구,백수명,고성요양병원이사,54,19670310,고성종합고등학교(현 고성고등학교) 졸업,(전)고성군수 정무 비서실장,56.57
4,국민의힘,충청북도,보은군선거구,원갑희,축산업,56,19640617,한국방송통신대학교 영어영문학과 재학중,(전)제7대 보은군의회의원,41.16
5,무소속,경상남도,함양군선거구,김재웅,농업,62,19580922,경남과학기술대학교 산업대학원 졸업(농학석사),(전)함양군의회의장(제4대),48.61
6,국민의힘,경상남도,의령군선거구,손태영,농업,60,19600708,마산대학(현 마산대학교) 유통정보과 졸업,(전)제8대 의령군의회(전반기) 의장,61.76
7,더불어민주당,전라남도,순천시제1선거구,한춘옥,순천농협 장천지점장,56,19641112,순천여자상업고등학교 (현 순천청암고등학교) 졸업,(현)순천농협 장천지점장,64.79
