,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,더불어민주당,인천광역시,남동구을,윤관석,국회의원,59,19600817,한양대학교 신문학과 졸업,"(현) 제19, 20대 국회의원(남동구을)",54.57
1,더불어민주당,인천광역시,부평구갑,이성만,정당인,58,19611104,연세대학교 물리학과 졸업,(전)인천대 도시행정학과 겸임교수,56.68
2,더불어민주당,인천광역시,부평구을,홍영표,제20대 국회의원,62,19570430,동국대학교 대학원 행정학과 박사과정 수료,(전)더불어민주당 원내대표,56.13
3,더불어민주당,인천광역시,계양구갑,유동수,국회의원,58,19610918,연세대학교 경영학과 졸업,(현)대한민국 국회 정무위원회 더불어민주당 간사,60.48
4,더불어민주당,인천광역시,계양구을,송영길,국회의원,57,19630321,연세대학교 상경대학 경영학과 졸업,(전)민선 5기 인천광역시장,58.67
5,더불어민주당,인천광역시,서구갑,김교흥,대한체육회 부회장(생활체육),59,19600830,동국대학교 대학원 정치학과 박사과정 수료,(전)인천광역시 정무부시장,53.23
6,더불어민주당,인천광역시,서구을,신동근,국회의원,58,19611222,서울대학교대학원 치의학과 박사과정 수료,(현)제20대 인천서구을 국회의원,61.64
7,더불어민주당,광주광역시,동구남구갑,윤영덕,정당인,50,19690907,중국 북경대학교 대학원 졸업 국제정치학 전공 법학박사(1999.9.~2005.7.),(전)문재인대통령 청와대 행정관,77.23
8,더불어민주당,광주광역시,동구남구을,이병훈,정당인,63,19570318,전남대학교 일반대학원 행정학과 졸업(행정학박사),(전)문재인대통령후보 광주총괄선대본부장,72.27
9,더불어민주당,광주광역시,서구갑,송갑석,정치인,53,19661010,전남대학교 경영대학 무역학과 졸업,(현)국회의원,82.18
10,더불어민주당,광주광역시,서구을,양향자,정당인,53,19670404,성균관대학교 대학원 졸업 (공학석사),(전)더불어민주당 최고위원,75.83
11,더불어민주당,광주광역시,북구갑,조오섭,정당인,51,19680719,전남대학교 사회과학대학 신문방송학과 졸업,(전)문재인대통령직속 국가균형발전위원회 대변인,57.79
12,더불어민주당,광주광역시,북구을,이형석,정당인,58,19611005,전남대학교 일반대학원 석사과정(정치학과) 졸업,(현)더불어민주당 최고위원,78.82
13,더불어민주당,광주광역시,광산구갑,이용빈,이용빈가정의학과 원장,55,19641215,전남대학교 의과대학 의학과 졸업,(전)문재인대통령 직속 국가균형발전위원회 자문위원,77.77
14,더불어민주당,광주광역시,광산구을,민형배,정당인,58,19610615,전남대학교 일반대학원 사회학과 졸업 (사회학 박사),(전)문재인대통령 청와대 사회정책비서관,84.05
15,더불어민주당,대전광역시,동구,장철민,정당인,36,19830516,서울대학교 정치학과 졸업,(전)더불어민주당 원내대표 정책조정실장(2급상당),51.01
16,더불어민주당,대전광역시,중구,황운하,정당인,57,19620910,성균관대학교 대학원 졸업(법학박사),(전)대전지방경찰청장,50.3
17,더불어민주당,대전광역시,서구갑,박병석,국회의원,68,19520125,한양대학교 대학원 박사과정 수료,(전)19대 국회부의장,55.58
18,더불어민주당,대전광역시,서구을,박범계,국회의원,56,19630427,연세대학교 법학과 졸업,(현)제20대 국회의원,57.5
19,더불어민주당,대전광역시,유성구갑,조승래,국회의원,52,19680221,충남대학교 평화안보대학원 졸업(평화안보학석사),(현)제20대 국회의원,56.52
20,더불어민주당,대전광역시,유성구을,이상민,국회의원,62,19580122,충남대학교 법과대학 법학과 졸업,(현)국회의원,55.85
21,더불어민주당,대전광역시,대덕구,박영순,정당인,55,19641207,충남대학교 대학원 석사과정 수료(동양철학전공),(전)대전광역시 정무부시장,49.39
22,미래통합당,울산광역시,중구,박성민,정당인,60,19590419,울산대학교 정책대학원 졸업(행정학석사),(전)울산중구청장,54.04
23,미래통합당,울산광역시,남구갑,이채익,국회의원,64,19550527,울산대학교 일반대학원 졸업(행정학박사),(현)제20대 국회의원,53.4
24,미래통합당,울산광역시,남구을,김기현,정당인,61,19590221,서울대학교 법학과 졸업,"(전)제17,18,19대 국회의원",58.48
25,미래통합당,울산광역시,동구,권명호,정당인,59,19610110,울산대학교 정책대학원 졸업(행정학석사),(전) 제5대 울산광역시의회 후반기부의장,38.36
26,더불어민주당,울산광역시,북구,이상헌,국회의원,65,19540710,동국대학교 대학원 호텔관광경영학 박사,(현)제20대 국회의원,46.34
27,미래통합당,울산광역시,울주군,서범수,정당인,56,19630917,부산대학교 대학원 행정학과 행정학전공 박사과정 수료,(전)울산지방경찰청장,52.74
28,더불어민주당,세종특별자치시,세종특별자치시갑,홍성국,혜안리서치 대표,57,19630224,동국대학교 행정대학원 행정학과 졸업 (행정학석사),(전)미래에셋대우 대표이사 사장,56.45
29,더불어민주당,세종특별자치시,세종특별자치시을,강준현,충남대학교 건축공학과 특임교수,55,19640819,충남대학교 대학원 건축공학과 졸업(공학석사),(현)더불어민주당 정책위 부의장,57.96
30,더불어민주당,경기도,수원시갑,김승원,법무법인 호민 대표 변호사,50,19690708,서울대학교 법과대학 공법학과 졸업,(전) 수원지방법원 판사,59.17
31,더불어민주당,경기도,수원시을,백혜련,국회의원,53,19670217,고려대학교 문과대학 사회학과 졸업,(전)더불어민주당 대변인,60.68
32,더불어민주당,경기도,수원시병,김영진,국회의원,52,19670910,중앙대학교 경영학과 졸업,(현) 국회의원,53.07
33,더불어민주당,경기도,수원시정,박광온,국회의원,63,19570326,고려대학교 사회학과 졸업,(전)MBC 보도국장,57.42
34,더불어민주당,경기도,수원시무,김진표,국회의원,72,19470504,서울대학교 법과대학 법학과 졸업,(전)노무현정부 경제부총리,55.21
35,더불어민주당,경기도,성남시수정구,김태년,국회의원,55,19650320,경희대학교 행정대학원 졸업(행정학석사),(현)제20대 국회의원(3선),60.31
36,더불어민주당,경기도,성남시중원구,윤영찬,정당인,55,19640805,서울대학교 사회과학대학 지리학과 졸업,(전)문재인대통령비서실 국민소통수석비서관,54.62
37,미래통합당,경기도,성남시분당구갑,김은혜,정당인,49,19710106,연세대학교 언론홍보대학원 졸업(문학석사),(전) MBC 뉴스데스크 앵커,50.07
38,더불어민주당,경기도,성남시분당구을,김병욱,국회의원,55,19650415,고려대학교 경영대학원 졸업(경영학석사),(현)제20대 국회의원,47.94
39,더불어민주당,경기도,의정부시갑,오영환,정당인,32,19880210,서울시립대학교 소방방재학과 졸업,(전) 중앙119구조본부 수도권특수구조대,53.03
40,더불어민주당,경기도,의정부시을,김민철,정당인,52,19671118,연세대학교 대학원 졸업(통일학 석사),(전) 노무현정부 청와대행정관,55.98
41,더불어민주당,경기도,안양시만안구,강득구,정당인,56,19630527,연세대학교 행정대학원 졸업(행정학석사),(전)경기도연정부지사,53.6
42,더불어민주당,경기도,안양시동안구갑,민병덕,변호사,49,19701220,서울대학교 정치학과 졸업,(현) 법무법인 민본 대표변호사,55.33
43,더불어민주당,경기도,안양시동안구을,이재정,국회의원,45,19740802,경북대학교 사법학과 졸업,(현) 더불어민주당 국회의원,54.15
44,더불어민주당,경기도,부천시갑,김경협,국회의원,57,19621107,고려대학교 노동대학원 졸업(경제학석사),"(현) 제19, 20대 국회의원",59.17
45,더불어민주당,경기도,부천시을,설훈,국회의원,66,19530423,고려대학교 사학과 졸업,"(현) 19, 20대 부천시을 국회의원",54.9
46,더불어민주당,경기도,부천시병,김상희,국회의원,65,19540518,이화여자대학교 제약학과 졸업,"(현) 국회의원(제18,19,20대)",60.55
47,더불어민주당,경기도,부천시정,서영석,약사,55,19640916,성균관대학교 약학과 졸업,(현) 더불어민주당 중앙당 부대변인,56.74
