,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,한나라당,서울특별시,강남구을,공성진,한양대 행정대학원 교수,50,19530420,美클레어몬트대학원 정치학박사(82.9~86.2),EBS 자문위원,57.5
1,한나라당,서울특별시,송파구갑,맹형규,국회의원,57,19460809,연세대학교 정치외교학과 졸업,한나라당 정책위원회 부의장,54.1
2,한나라당,서울특별시,송파구을,박계동,정당인,51,19521220,고려대학교 정치외교학과 졸업,제14대 국회의원,49.3
3,열린우리당,서울특별시,송파구병,이근식,정당인,58,19460210,서울대학교 법학과 졸업,국민의정부 행정자치부장관,38.2
4,한나라당,서울특별시,강동구갑,김충환,정당인,50,19540309,서울대 사회과학대학정치학과 졸업,행정고시합격,47.2
5,열린우리당,서울특별시,강동구을,이상경,변호사,40,19640222,전북대학교 대학원 경제학 박사과정 수료,"1990년 사법고시, 행정고시 합격",40.1
6,한나라당,부산광역시,중구·동구,정의화,국회의원,55,19481218,부산대학교 의과대학 졸업,15.16대 국회의원,59.6
7,한나라당,부산광역시,서구,유기준,변호사,44,19590810,서울대학교 법학과 졸업,사법시험(제25회)합격,45
8,한나라당,부산광역시,영도구,김형오,국회의원,56,19471130,경남대학교 대학원 정치학박사,"14,15,16대 국회의원",48.4
9,한나라당,부산광역시,부산진구갑,김병호,국회의원,61,19430115,고려대학교 정치외교학과 4년 졸업,"부산국제신문, 부산일보 기자",55.6
10,한나라당,부산광역시,부산진구을,이성권,정당인,35,19681015,와세다대학대학원2년졸업 (국제관계학)석사,부산대학교 총학생회장,45.9
11,한나라당,부산광역시,동래구,이재웅,교수,50,19530824,연세대학교 대학원 졸업(행정학 박사),동의대 행정학과 교수 겸 영상정보대학원장,57.3
12,한나라당,부산광역시,남구갑,김정훈,변호사,46,19571103,한양대학교 법학과 졸업,한나라당 이회창 대통령후보 법률특보,50.8
13,한나라당,부산광역시,남구을,김무성,국회의원,52,19510920,한양대학교 경영학과 졸업,15대16대국회의원,54.9
14,한나라당,부산광역시,북구·강서구갑,정형근,국회의원,58,19450726,"서울대학교 법과대학원 졸업, 법학박사",제15·16대 국회의원,51.2
15,한나라당,부산광역시,북구·강서구을,허태열,국회의원,58,19450725,성균관대학교 법정대학 법학과 졸업,충북도지사,52.5
16,한나라당,부산광역시,해운대구·기장군갑,서병수,정당인,52,19520109,미국 북일리노이주립대학원 경제학박사,동부산대학 겸임교수,55.6
17,한나라당,부산광역시,해운대구·기장군을,안경률,국회의원,55,19480711,서울대학교 철학과 졸업,제16대 국회의원,55
18,한나라당,부산광역시,사하구갑,엄호성,국회의원,48,19551023,서울대 행정대학원 석사과정 수료,행정·사법고시 합격,54.9
19,열린우리당,부산광역시,사하구을,조경태,정당인,36,19680110,부산대학교 토목공학박사,노무현 대통령후보 정책보좌,39.1
20,한나라당,부산광역시,금정구,박승환,변호사,46,19571008,부산대학교 대학원 법학과 박사과정 수료,민변 부산·경남지부 회장,52.4
21,한나라당,부산광역시,연제구,김희정,정당인,33,19710413,연세대학교 대학원 정치학박사 수료,(현)한나라당중앙당부대변인,53.7
22,한나라당,부산광역시,수영구,박형준,동아대 사회학과 정교수,44,19600119,고려대 동대학원 졸업,중앙일보사 기자,58.8
23,한나라당,부산광역시,사상구,권철현,국회의원,57,19470102,일본국립쯔꾸바대학원졸3년 도시사회학박사,한나라당 대변인,52.7
24,한나라당,대구광역시,중구·남구,곽성문,정당인,51,19521124,서울대학교 국사학과 졸업,MBC 워싱턴특파원,63.1
25,한나라당,대구광역시,동구갑,주성영,변호사,45,19580427,고려대학교 법학과 졸업,대구 고등검찰청 부장검사,60.6
26,한나라당,대구광역시,동구을,박창달,국회의원,58,19460317,영남대학교 행정대학원 졸업,한나라당 교육위원장,55.1
27,한나라당,대구광역시,서구,강재섭,16대 국회의원,56,19480328,서울대학교 법과대학 법학과 졸업,"국회의원(4선, 13.14.15.16대)",56.1
28,한나라당,대구광역시,북구갑,이명규,변호사,48,19560110,영남대학교 법학대학원 졸업,대구광역시 북구1대 ·2대 ·3대민선구청장,73.2
29,한나라당,대구광역시,북구을,안택수,국회의원,60,19431113,서울대학교 정치학과 졸업,"제15,16대국회의원",58.7
30,한나라당,대구광역시,수성구갑,이한구,16대 국회의원,58,19451212,미국캔사스 주립대학교 졸업,한나라당 정책위원회 부의장,60.3
31,한나라당,대구광역시,수성구을,주호영,변호사,43,19601210,영남대학교 대학원 법학과 졸업,대구지방법원 부장판사,66.5
32,한나라당,대구광역시,달서구갑,박종근,"제15, 16대 국회의원",67,19370205,미국워싱턴주립대학원졸업(국제경제학석사),"경제기획원 경제기획관,예산심의관",59.7
33,한나라당,대구광역시,달서구을,이해봉,국회의원,61,19420615,서울대학교 행정학과졸업,대구직할시장,66.9
34,한나라당,대구광역시,달서구병,김석준,이화여자대학교 행정학과 교수,51,19520615,美UCLA대학교정치학과졸업(석박사과정졸업),경북대학교 법대교수,64.8
35,한나라당,대구광역시,달성군,박근혜,국회의원,52,19520202,서강대학교 전자공학과 졸업,한나라당 대표,70
36,열린우리당,인천광역시,중구·동구·옹진군,한광원,공인회계사,47,19570401,서울대학교 경영대학원 2년 졸업,인일회계법인 이사,35.6
37,열린우리당,인천광역시,남구갑,유필우,정치인,59,19450114,서울대학교 행정대학원 수료,인천광역시 정무부시장,44
38,열린우리당,인천광역시,남구을,안영근,국회의원,46,19580220,인하대학교 행정학과 졸업,환경운동연합 국정정책자문위원,46.3
39,한나라당,인천광역시,연수구,황우여,국회의원,56,19470803,서울대학교 대학원 법학과 졸업,"15,16대 국회의원",47.1
40,한나라당,인천광역시,남동구갑,이윤성,국회의원,59,19441002,한국외국어대학교 졸업,"KBS 보도본부24시,9시뉴스앵커",45.8
41,열린우리당,인천광역시,남동구을,이호웅,현역 국회의원,54,19490801,서울대학교정치학과 4년졸업,제16대 국회의원,46.5
42,열린우리당,인천광역시,부평구갑,문병호,변호사,44,19591227,서울대학교 법과대학 졸업,변호사,40.8
43,열린우리당,인천광역시,부평구을,최용규,국회의원,48,19560310,고려대학교 법학과 졸업,초대민선 부평구청장,48.8
44,열린우리당,인천광역시,계양구갑,신학용,법무사,52,19520121,서울대학교 정치학과 졸업,서울대 총동창회 이사,51.1
45,열린우리당,인천광역시,계양구을,송영길,국회의원,41,19630321,연세대 경영학과 졸업,연세대 초대 총학생회장,56.2
46,열린우리당,인천광역시,서구·강화군갑,김교흥,정당인,43,19600830,동국대학교 대학원 박사과정 수료,열린우린당 정책위원회 부의장,45.2
47,한나라당,인천광역시,서구·강화군을,이경재,정당인,62,19411217,서울대학교 사회학과 졸업,"15, 16대 국회의원",47.5
48,열린우리당,광주광역시,동구,양형일,교수,53,19510302,미국주립휴스턴대학교 행정학 박사,조선대학교 11대 총장,51.8
49,열린우리당,광주광역시,서구갑,염동연,정당인,58,19460128,미국 퍼시픽 웨스턴대학교 정치학석사(2년),노무현 대통령후보 정무특보,52.6
50,열린우리당,광주광역시,서구을,정동채,국회의원,53,19500703,경희대학교 국어국문학과 졸업,제16대 대선 노무현후보 비서실장,51.6
51,열린우리당,광주광역시,남구,지병문,교수,50,19531014,뉴욕주립대학교 정치학박사,전남대 정치외교학과 교수,46.2
52,열린우리당,광주광역시,북구갑,강기정,시민운동가,39,19641203,전남대학교 행정대학원 졸업,청와대 국가균형 발전위원회 자문위원(현),59.8
53,열린우리당,광주광역시,북구을,김태홍,제16대 국회의원,61,19420927,서울대학교 사학과 졸업,초대민선북구청장,55.7
54,열린우리당,광주광역시,광산구,김동철,(사)한국석유수출입협회회장(현),48,19550630,서울대학교 법학과 졸업,청와대정무수석실정무기획비서관(1급),58
55,열린우리당,대전광역시,동구,선병렬,정당인,46,19580403,충남대학교 사회학과 졸업,대통령정책실신행정수도추진기획단자문위원,43.7
56,열린우리당,대전광역시,중구,권선택,대전미래발전연구소 소장,48,19551201,대전대학교대학원박사과정수료(행정학),대전광역시행정부시장,52.2
57,열린우리당,대전광역시,서구갑,박병석,16대 국회의원,52,19520125,한양대대학원신문방송학과박사과정(휴학중),서울시 정무부시장,51.8
58,열린우리당,대전광역시,서구을,구논회,교육사업,43,19600620,고려대학교 행정대학원 졸업(정책학석사),대전대학학원 이사장,41.7
59,열린우리당,대전광역시,유성구,이상민,변호사,46,19580122,충남대학교 법과대학 법학과 졸업,대통령인사보좌 자문위원,32.2
60,열린우리당,대전광역시,대덕구,김원웅,국회의원,60,19440308,서울대 정치학과 졸업,개혁당 대표,50.8
61,한나라당,울산광역시,중구,정갑윤,국회의원,53,19501108,울산대학교산업대학원졸업,제4대경남도의원,46.8
62,한나라당,울산광역시,남구갑,최병국,국회의원,62,19420127,서울대학교 사법대학원 수료,대검찰청 중앙수사부장,48.8
63,한나라당,울산광역시,남구을,김기현,변호사,45,19590221,서울대학교 대학원 법학과 2년 수료,울산지방법원 판사(전),45.6
64,국민통합21,울산광역시,동구,정몽준,국회의원,52,19511017,존스홉킨스대학 국제관계대학원 졸업,"국회의원(13,14,15,16대)",65.2
65,민주노동당,울산광역시,북구,조승수,정당인,41,19630122,울산대학교 지역개발대학원 졸업(행정학),북구청장,46.9
66,열린우리당,울산광역시,울주군,강길부,교수,61,19420605,경원대학교 대학원 졸업,대통령 건설교통비서관,42.6
67,열린우리당,경기도,수원시장안구,심재덕,정당인,65,19390115,서울대학교농과대학잠사과졸업,민선1.2대수원시장역임,44.4
68,열린우리당,경기도,수원시권선구,이기우,디자인큐브 대표,37,19660816,아주대학교 공공정책대학원 3학기 재학중,제5대 경기도의회의원,44
