,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,국민의당,서울특별시,강서구제2선거구,김경자,정당인,66,19490716,홍익대학교 교육대학원 졸업(교육학 석사),(전)서울특별시 제5대 강서구의회의원,38.31
1,더불어민주당,서울특별시,관악구제3선거구,허기회,정당인,50,19650903,한국외국어대학교 컴퓨터공학과 졸업,(전)관악구의회 부의장,35.24
2,새누리당,대구광역시,수성구제1선거구,배재훈,중국사회과학원 아시아태평양 연구소 연구원,36,19790920,중국사회과학원 국제관계학과 박사(2010.9.3.~2013.8.20.),(현)중국사회과학원 아시아태평양 연구소 연구원,59.12
3,새누리당,대구광역시,달서구제5선거구,신원섭,(주) 도시환경 대표이사,65,19501217,영남대학교 법과대학 법학부 시간제 입학 제적 (2002. 03. 02 ~ 2006. 09. 01),(전) 달서구의회의원,52.02
4,더불어민주당,인천광역시,계양구제1선거구,홍정화,변호사,27,19880711,전남대학교 법학전문대학원 졸업,(현)효성동초등학교 지역운영위원,40.98
5,새누리당,경기도,수원시제5선거구,최중성,자영업,53,19630112,경기대학교 행정대학원 졸업 행정학석사,"(전) 제7,8,9대 수원시의회 의원",40.59
6,새누리당,경기도,성남시제4선거구,임동본,체육관장,65,19500612,경희대학교 테크노경영대학원 졸업(체육학석사),(전)성남시태권도협회 회장,36.64
7,더불어민주당,경기도,성남시제7선거구,이나영,정당인,30,19860311,중앙대학교 도시및지역계획학과 졸업,(전)성남시 민선6기 시민행복위원회 대변인,39.92
8,더불어민주당,경기도,안양시제2선거구,김종찬,정당인,55,19601202,고려대학교 교육대학원 석사과정 평생교육전공(교육학석사),(전)국회의원 보좌관,55.91
9,더불어민주당,경기도,양주시제2선거구,박재만,정당인,53,19630404,대진대학교 법무행정대학원 행정학과 졸업(행정학석사),(전)제17대 국회의원 정성호 보좌관,53.3
10,더불어민주당,경기도,화성시제3선거구,이은주,병점 뉴질랜드어린이집 대표,44,19720203,전남과학대학교 유아교육과 졸업,(현)더불어민주당 경기도당 보육특별위원장,61.46
11,더불어민주당,경기도,군포시제1선거구,정희시,정당인,53,19620525,연세대학교 정치외교학과 졸업,(전)군포환경자치시민회 공동대표,39.07
12,국민의당,전라북도,전주시제2선거구,이도영,정당인,37,19780616,전북대학교 행정대학원 석사과정 재학,"(전)제9,10대 전주시의원",53.32
13,더불어민주당,전라북도,익산시제4선거구,최영규,정당인,43,19720610,전주대학교 사회과학대학 국제관계학과 졸업,(전)전북도민일보 기자,52.73
14,새누리당,경상북도,구미시제3선거구,김지식,자영업,47,19690104,경북대학교 사회체육학과 졸업,(전)금오중학교 총동창회 회장,0
15,새누리당,경상남도,양산시제3선거구,이태춘,(주)이일건설 대표이사,60,19560327,"영산대학교 호텔관광, 경영대학원(경영학전공 : 석사과정) 졸업",(전)웅상농업협동조합장,52.96
16,더불어민주당,제주특별자치도,제주특별자치도제22선거구,윤춘광,정당인,63,19520815,미기재,(전)제9대 제주특별자치도의원,52.55
