,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,국민의힘,서울특별시,영등포구바선거구,차인영,정당인,45,19750420,동국대학교 대학원 식품공학과 졸업(공학석사),(현)신길중학교유치위원회 위원장,59.12
1,더불어민주당,전라북도,김제시나선거구,김승일,아람학원 원장,38,19830203,원광대학교 일반대학원 법학과 박사과정 4학기 재학중,(현)더불어민주당 김제부안지역위원회 청년위원장,46.73
2,국민의힘,충청남도,예산군라선거구,홍원표,신암우체국 국장,37,19830924,공주대학교 생물산업공학부 졸업(생물산업기계공학전공),(전)예산군 학교운영위원장 협의회장,41.41
3,국민의힘,경상남도,함안군다선거구,황철용,농업인,54,19670328,대구대학교 법과대학 사법학과 졸업,(전) 사)한국청년지도자 연합회 함안군지회 10대회장,74.34
4,국민의힘,경기도,파주시가선거구,박수연,정당인,46,19750325,이화여자대학교 정치외교학과 졸업,(현)제8기 파주시민기자,49.04
5,더불어민주당,전라남도,보성군다선거구,조영남,농업,59,19610609,한영대학교 호텔관광학과 졸업,(현)더불어민주당 보성지역위원회 여성위원장 ,45.12
6,국민의힘,울산광역시,울주군나선거구,박기홍,자영업,54,19660809,울산대학교 체육학과 졸업,(현)범서읍체육회회장,61.38
7,국민의힘,서울특별시,송파구라선거구,김순애,정당인,72,19480711,서울 무학여자고등학교 졸업,(전)송파구의회의원(6~7대),62.96
8,무소속,경상남도,의령군다선거구,윤병열,농업,61,19590514,마산대학(현 마산대학교) 한약재개발과 졸업,(현)지정면이장단협의회장,50.19
