,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,국민의힘,경상남도,의령군,오태완,국민의힘 중앙위 지방행정 특보단장,55,19660307,경남대학교 대학원 경영학과 졸업(경영학박사),(전)경남도청 정무특보(1급상당),44.33
1,국민의힘,울산광역시,남구,서동욱,정당인,58,19630124,동국대학교 사회과학대학원 졸업 (행정학석사),(전)울산광역시 남구청장,63.73
