,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,더불어민주당,서울특별시,노원구병,김성환,정당인,52,19651015,연세대학교 행정대학원 행정학석사,(전)노무현대통령 청와대 정책조정비서관,56.43
1,더불어민주당,서울특별시,송파구을,최재성,정당인,52,19650909,동국대학교 대학원 행정학과 졸업 (정책학 박사과정 수료),(전)제17·18·19대 국회의원,54.41
2,더불어민주당,부산광역시,해운대구을,윤준호,(주)해운대코렘어학원대표이사,51,19670607,중국 북경과학기술대학 과학기술 교육관리전공 박사과정 수료 (2007.09~2010.07),(현) 더불어민주당 부산시당 대변인,50.15
3,더불어민주당,인천광역시,남동구갑,맹성규,정당인,56,19620516,한국항공대학교 대학원 졸업(법학 박사),(전)문재인 정부 국토교통부 제2차관,61.62
4,더불어민주당,광주광역시,서구갑,송갑석,정당인,51,19661010,전남대학교 경영대학 무역학과 졸업,(전)전대협 제4기 의장,83.46
5,더불어민주당,울산광역시,북구,이상헌,정당인,63,19540710,동국대학교 대학원 관광호텔경영학 박사,(전) 더불어민주당 울산시당 위원장,48.47
6,더불어민주당,충청북도,제천시단양군,이후삼,정당인,48,19690918,청주대학교 회계학과 졸업,(전)19대대통령선거 문재인후보 정무특보,47.74
7,더불어민주당,충청남도,천안시갑,이규희,정당인,56,19610627,연세대학교 법과대학 졸업,(전)문재인 대통령후보 충남 공동선대위원장,57.78
8,더불어민주당,충청남도,천안시병,윤일규,의사,68,19500414,전남대학교 대학원 의학과 졸업(의학박사),(전)문재인 후보 충남 상임선대위원장,62.17
9,더불어민주당,전라남도,영암군무안군신안군,서삼석,정당인,58,19590803,전남대학교 일반대학원 졸업(NGO학 박사),"(전)민선3,4,5기 무안군수",67.96
10,자유한국당,경상북도,김천시,송언석,정당인,55,19630516,뉴욕주립대학교 박사졸업(경제학전공)(1994.8~2001.6),(전)기획재정부 제2차관,50.31
11,더불어민주당,경상남도,김해시을,김정호,기업인(농업),57,19600618,부산대학교 경제학과 졸업,(전)노무현 대통령 참여정부 기록관리비서관,63.01
