,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,,서울특별시,서울특별시,곽노현,한국방송통신대학교 교수,55,19540807,펜실베니아대 법학석사,국가인권위원회 사무총장,34.34
1,,부산광역시,부산광역시,임혜경,부산포럼 부대표,62,19480109,경성대 대학원 사회복지학과 박사과정 재학중,(전)부산시교육청 특수교육담당 장학관,19.98
2,,대구광역시,대구광역시,우동기,대학교수,58,19520517,일본 쓰쿠바대학 대학원 사회공학연구과정 졸업(1987.4-1990.3)(학술박사),(전)영남대학교 총장,31.34
3,,인천광역시,인천광역시,나근형,무직,70,19390808,서울대학교 사범대학 수학교육과 졸업,"(전)부원중, 인일여고 교장",25.44
4,,광주광역시,광주광역시,장휘국,광주광역시 교육위원,59,19500802,조선대학교 대학원 사학과 졸업,광주고등학교 교사,39.79
5,,대전광역시,대전광역시,김신호,(현)대전광역시 교육감,57,19521013,미국아이오와대학교(교육심리학과) 2년8월(교육학박사),(전)공주교육대학교 교수,41.58
6,,울산광역시,울산광역시,김복만,울산대학교 산업정보경영공학부 교수,62,19470706,한양대학교 대학원 산업공학과 졸업(공학박사),(전)울산광역시 제3대정무부시장,37.36
7,,경기도,경기도,김상곤,경기도 교육감,60,19491205,서울대학교 대학원 경영학과 졸업(경영학 박사),(전)한신대학교 교수,42.33
8,,강원도,강원도,민병희,강원도 교육위원,56,19530628,강원대학교 수학교육과 졸업,전국교육자치포럼 공동대표,39.91
9,,충청북도,충청북도,이기용,교육공무원(충청북도교육감),65,19450503,경희대학교 교육대학원 졸업(교육학석사),前 충청북도괴산교육청 교육장,46.28
10,,충청남도,충청남도,김종성,충청남도 교육감,60,19500326,공주대학교 교육대학원 졸업(석사),(전)충남 교육청 교육국장,69.23
11,,전라북도,전라북도,김승환,전북대 법학전문대학원 교수,56,19531226,고려대학교 대학원 졸업,전) 한국헌법학회장,28.99
12,,전라남도,전라남도,장만채,무직,52,19580326,한국과학기술원(KAIST)졸업 (이학박사),국립순천대학교 총장,54.95
13,,경상북도,경상북도,이영우,경상북도교육감,64,19451014,경북대학교 사범대학 국어교육과 졸업,현)경상북도교육감,73.87
14,,경상남도,경상남도,고영진,교육인,63,19470220,동아대학교 대학원 교육학과졸업 (교육학박사),제13대 경상남도 교육감,25.86
15,,제주특별자치도,제주특별자치도,양성언,제주특별자치도교육감,68,19420318,대구대학교 교육대학원(교육학석사) 졸업,제12대·13대 제주특별자치도 교육감,47.93
