,정당,시도명,시군구,이름,직업,나이,생일,교육,커리어,득표율
0,자유한국당,경상북도,문경시나선거구,서정식,농업,56,19630317,목원대학 무역학과 졸업 (경제학사),(전)문경시학원연합회 회장,57.25
1,자유한국당,경상북도,문경시라선거구,이정걸,정당인,57,19620319,상주농업전문대학 농업경영과 졸업,(전)농협중앙회 문경시지부 농정지원단장,62.03
2,민주평화당,전라북도,전주시라선거구,최명철,정당인,62,19560913,전주대학교 영어영문학과 졸업,(전)전주시의회의원,43.65
